,pred,real
0,0.27936765,0.26119403
1,0.511924902,0.417910448
2,0.703013259,0.609452736
3,1.000476952,0.853233831
4,1.1692907,0.992537313
5,1.459931078,1.34079602
6,1.663981032,1.549751244
7,1.900644319,1.741293532
8,2.077556318,1.915422886
9,2.257235128,2.089552239
10,2.337894552,2.281094527
11,2.483641236,2.437810945
12,2.869238503,2.820895522
13,3.149730858,3.134328358
14,3.400624323,3.447761194
15,3.67580197,3.7960199
16,0.942221092,0.400497512
17,1.174443076,0.713930348
18,1.859398627,1.462686567
19,2.354981907,1.967661692
20,2.50335488,2.15920398
21,2.956919723,2.577114428
22,3.477289044,2.97761194
23,3.683931541,3.23880597
24,4.101270908,3.621890547
25,4.291823129,3.848258706
26,4.68378443,4.126865672
27,4.914649716,4.353233831
28,5.02129837,4.631840796
29,5.269826619,4.858208955
30,5.337358302,5.084577114
31,5.879359135,5.293532338
32,6.261962237,5.728855721
33,6.58621239,5.972636816
34,7.121422916,6.18159204
35,7.394158983,6.373134328
36,0.732143278,0.226368159
37,1.343448005,0.679104478
38,2.045912136,1.288557214
39,2.534907139,1.706467662
40,2.814892213,1.950248756
41,3.145732832,2.246268657
42,3.376563532,2.542288557
43,3.667110654,2.890547264
44,3.929253326,3.186567164
45,4.20238999,3.447761194
46,4.455436754,3.691542289
47,4.756161291,3.935323383
48,4.910535149,4.213930348
49,5.23887127,4.492537313
50,5.212594107,4.718905473
51,5.749795776,4.980099502
52,5.74064046,5.189054726
53,6.207446252,5.641791045
54,6.721209113,6.111940299
55,0.198392317,0.132132132
56,0.500948746,0.396396396
57,0.788433866,0.588588589
58,0.978449716,0.768768769
59,0.992085528,0.888888889
60,1.093228704,1.045045045
61,1.120184369,1.153153153
62,1.220310383,1.249249249
63,1.239802617,1.369369369
64,1.296563623,1.417417417
65,1.308854133,1.537537538
66,0.846216879,0.5
67,1.131884055,0.826923077
68,2.028571595,1.75
69,2.749130155,2.557692308
70,3.269457088,3.211538462
71,3.926719563,3.865384615
72,4.441646157,4.5
73,4.899680763,4.980769231
74,5.213659102,5.5
75,5.640007405,6.019230769
76,5.866573486,6.384615385
77,6.03564672,6.865384615
78,0.608094007,0.417973297
79,1.308292364,1.010852448
80,1.938522522,1.621294077
81,2.431309117,2.179459089
82,3.002583915,2.633344745
83,3.68455727,3.104621705
84,3.954578509,3.558370421
85,4.234038509,3.960150633
86,4.882510792,4.292365628
87,5.340868864,4.711331736
88,5.640425603,5.078226635
89,-0.066516548,0.076335878
90,0.770472582,0.549618321
91,1.522855002,1.099236641
92,1.95723982,1.496183206
93,2.2191913,1.984732824
94,2.560197925,2.335877863
95,2.85401956,2.79389313
96,3.070555457,3.175572519
97,3.303928793,3.541984733
98,3.89892354,4.259541985
99,0.351723433,0.208913649
100,0.734168499,0.710306407
101,1.275185526,1.183844011
102,1.617287405,1.629526462
103,1.983363767,2.033426184
104,2.270370713,2.353760446
105,2.504847047,2.590529248
106,2.928858289,3.077994429
107,3.393678187,3.52367688
108,3.730734874,3.927576602
109,4.079358724,4.3454039
110,4.141592485,4.735376045
111,4.287783196,5.139275766
112,0.389191838,0.662770732
113,0.718554825,1.196493659
114,1.087283567,1.649715336
115,1.291642217,2.054318161
116,1.664274508,2.491454047
117,1.94421584,2.977353375
118,2.162915212,3.463541886
119,2.627111078,3.949947284
120,2.944736983,4.403747327
121,2.920352369,4.825592674
122,3.191471761,5.490170799
123,0.187406514,0.194619996
124,0.589746804,0.728270627
125,0.898970846,1.197722686
126,1.15907211,1.60268699
127,1.527734561,1.975407416
128,1.935982738,2.445799319
129,2.235513443,2.915829744
130,2.528734541,3.305575805
131,2.992632065,3.679452963
132,3.073378426,4.084995632
133,3.029298409,4.41039853
134,3.269600753,4.621682682
135,2.492813908,2.938005391
136,2.858386005,3.396226415
137,3.470760332,3.989218329
138,3.636656764,4.447439353
139,3.776127237,4.959568733
140,4.341105321,5.525606469
141,4.476822032,5.929919137
142,4.809386664,6.388140162
143,5.626247092,6.873315364
144,5.907880205,7.250673854
145,6.156726438,7.547169811
146,6.834279467,8.059299191
147,7.148260345,8.274932615
148,2.760260168,4.09703504
149,2.954849543,4.663072776
150,3.131503613,5.309973046
151,3.541247079,5.849056604
152,3.872841724,6.361185984
153,4.161036063,6.846361186
154,4.975875226,7.277628032
155,5.243454989,7.81671159
156,5.490903028,8.274932615
157,6.103559621,8.679245283
158,6.384935717,9.110512129
159,0.79741054,0.592991914
160,1.329068094,1.239892183
161,1.829298099,1.725067385
162,2.073580661,2.264150943
163,2.44100025,2.641509434
164,3.0157202,3.153638814
165,3.255058007,3.665768194
166,3.469511386,4.043126685
167,4.075319844,4.501347709
168,4.20647825,4.905660377
169,4.50007025,5.283018868
170,5.242432854,5.660377358
171,5.359415736,6.064690027
172,5.526113193,6.388140162
173,6.010614018,6.738544474
174,6.335951718,7.035040431
175,0.438086405,0.57881137
176,1.593543554,1.953488372
177,1.999166691,2.387596899
178,2.619352106,3.147286822
179,3.319246097,3.816537468
180,3.48841937,4.377260982
181,4.036632975,4.901808786
182,4.564109979,5.354005168
183,4.62641571,5.589147287
184,5.191672285,6.005167959
185,5.493191501,6.403100775
186,6.108512101,6.801033592
187,1.043753271,0.940568475
188,1.96725096,2.11627907
189,2.710638897,2.857881137
190,3.497577002,3.65374677
191,4.031535592,4.23255814
192,4.718566638,4.829457364
193,5.11561028,5.335917313
194,5.492749137,5.860465116
195,6.03054651,6.258397933
196,6.19256702,6.638242894
197,6.474095187,6.837209302
198,6.552980843,7.018087855
199,0.291569046,0.496170048
200,0.645825959,1.02224688
201,0.991234248,1.548264841
202,1.324424744,2.043993352
203,1.607318542,2.569805262
204,2.017955708,3.065386593
205,2.296533106,3.410550925
206,2.587185346,3.831100372
207,2.933258272,4.191424147
208,3.285926622,4.461468287
209,0.39021285,0.345929663
210,0.819313138,1.15782823
211,1.226840591,1.819250927
212,1.492767031,2.269883773
213,1.768479779,2.765612284
214,2.177662985,3.246357966
215,2.386665139,3.651689098
216,2.791676407,4.102174765
217,3.140755456,4.522606468
218,3.313073455,4.792827223
219,0.275101336,0.32890677
220,1.025243064,0.937153163
221,1.410281149,1.397319645
222,2.025890882,2.005216426
223,2.895655421,2.760843507
224,3.374019317,3.450627081
225,3.920818927,4.123823529
226,4.550104946,4.747685905
227,5.285128286,5.453668147
228,5.503203698,5.715954495
229,5.534651199,5.879922309
230,0.024775732,0.095038192
231,0.780681171,0.546562164
232,1.088869973,0.855315247
233,1.416130043,1.16406833
234,1.61786618,1.449125945
235,2.227472812,1.888403461
236,2.563949457,2.422633728
237,2.997667708,2.921235354
238,3.334565642,3.455380181
239,4.212934944,3.941934712
240,4.707649353,4.333422571
241,0.898765628,0.752336449
242,1.538988636,1.308411215
243,2.045503044,1.946261682
244,2.63572442,2.502336449
245,3.31068542,3.074766355
246,3.676450153,3.630841121
247,4.446208729,4.219626168
248,5.171038987,5.037383178
249,6.020910057,5.838785047
250,6.600436632,6.198598131
251,0.829719459,0.584337015
252,1.300582225,0.968020102
253,2.160676309,1.835342379
254,2.653790187,2.301992563
255,3.530289211,3.18545616
256,4.152499793,3.701731193
257,4.631091212,4.284761362
258,5.057562712,4.700868372
259,5.434168453,5.183730517
260,5.869747119,5.649780258
261,6.367082406,6.065993229
262,6.75221751,6.498594762
263,1.049542122,0.767613416
264,1.553579755,1.368021111
265,2.091346768,1.968216886
266,2.575417244,2.501480925
267,3.422179714,3.134630425
268,3.932284114,3.717660593
269,4.572491168,4.317538486
270,4.852218107,4.783623547
271,5.445495984,5.283086176
272,5.834970349,5.765913001
273,6.373585882,6.198585175
274,6.371048164,6.381543694
275,0.531056628,0.48378047
276,1.079741651,0.933900811
277,1.387021305,1.433963883
278,1.974395329,1.983722444
279,2.777526954,2.60002422
280,3.173575664,3.066179921
281,3.66900344,3.56567787
282,4.501812831,4.381326727
283,5.458544014,5.213434786
284,5.945817487,5.629506476
285,1.170913485,0.611888112
286,2.137481357,1.188811189
287,2.762081871,1.748251748
288,3.28035306,2.202797203
289,3.774251478,2.622377622
290,4.181822594,3.024475524
291,4.540739153,3.426573427
292,4.864236374,3.776223776
293,5.190003307,4.038461538
294,5.594505646,4.370629371
295,5.700718909,4.72027972
296,5.830561586,5.034965035
297,6.067665579,5.314685315
298,1.326635294,0.839160839
299,1.812623556,1.363636364
300,2.13424775,1.888111888
301,2.519479479,2.307692308
302,2.900081502,2.727272727
303,3.232740488,3.146853147
304,3.738020341,3.566433566
305,4.023232869,3.916083916
306,4.196472857,4.300699301
307,4.816438044,4.615384615
308,5.034787035,4.965034965
309,5.339611703,5.27972028
310,5.315997678,5.454545455
311,0.336978147,0.227272727
312,0.835216415,0.524475524
313,1.201972524,0.839160839
314,1.434894424,1.171328671
315,1.829860584,1.468531469
316,2.102757,1.695804196
317,2.449481514,1.958041958
318,2.728449231,2.255244755
319,2.986088345,2.552447552
320,3.554738904,2.832167832
321,3.657271694,3.059440559
322,3.740916171,3.339160839
323,3.97855868,3.566433566
324,2.353000362,1.99288558
325,3.47054586,3.537609838
326,4.084213081,4.718791962
327,5.027908363,6.072699004
328,5.910432012,7.148625409
329,6.41274308,7.774034724
330,6.588105382,8.334424839
331,7.117443931,8.572168956
332,0.484339639,0.550722222
333,1.119860333,1.101833333
334,1.367769411,1.302777778
335,1.686706418,1.804111111
336,2.083055557,2.255666667
337,2.514163059,2.657333333
338,3.012889861,3.009111111
339,3.440082995,3.712166667
340,4.088424145,4.315222222
341,4.426642404,4.918444444
342,5.191684042,5.446666667
343,5.331071838,5.748777778
344,5.519690522,5.899722222
345,0.899363156,0.525833333
346,1.609041323,1.502444444
347,2.390255114,2.104277778
348,2.906431509,2.580777778
349,3.676673638,3.459
350,4.256585978,4.262166667
351,4.868692525,4.990333333
352,5.181498679,5.593333333
353,6.02205694,6.196944444
354,6.548389944,6.674666667
355,0.680945901,0.500333333
356,1.428747983,1.626611111
357,2.115896472,2.227833333
358,2.524811711,2.904
359,3.125115024,3.505666667
360,3.709964222,4.1075
361,4.249440924,4.910444444
362,4.874386762,5.613611111
363,5.279702015,6.065611111
364,5.789326857,6.593666667
365,5.972765166,6.845277778
366,6.214795816,7.223166667
367,6.475125305,7.424666667
368,1.346632864,0.660122106
369,2.300652663,1.81965609
370,3.069149829,2.56416112
371,3.884893323,3.57069926
372,4.394124543,4.17110497
373,4.774392634,4.627679474
374,5.139555903,5.151843188
375,5.454211193,5.48980143
376,5.785773715,5.853108673
377,5.813749956,6.030539492
378,0.366593489,0.237037532
379,1.167881905,0.846376327
380,1.421549372,1.176352071
381,1.708777809,1.51477342
382,2.059693986,1.912423684
383,2.39294774,2.242277557
384,2.645349713,2.504481285
385,3.270831025,3.079464872
386,3.734338043,3.620617292
387,4.345413051,4.093961135
388,4.717628879,4.525076955
389,5.207622073,4.922215364
390,5.66831676,5.33637904
391,5.649601134,5.505315506
392,0.529611405,0.315874651
393,0.940016927,0.857341082
394,0.9546392,1.001757134
395,1.771271962,1.805118905
396,1.902124506,2.012765665
397,2.273523351,2.39200566
398,2.491035169,2.753166
399,3.239626085,3.358267046
400,3.630016296,4.080876231
401,4.05662165,4.58682768
402,4.584523382,5.19218838
403,4.914689603,5.616983335
404,5.352511073,6.050760417
405,5.569894156,6.493654261
406,6.106566091,6.954589292
407,0.575693405,0.149122807
408,0.747681192,0.51754386
409,1.098598622,0.850877193
410,1.540681789,1.438596491
411,1.73854536,1.745614035
412,2.033251126,2.105263158
413,2.520855445,2.833333333
414,3.133207613,3.561403509
415,3.450027876,4.043859649
416,3.749655828,4.526315789
417,4.322153616,4.98245614
418,5.086194766,5.385964912
419,5.154491791,5.815789474
420,5.694051637,6.210526316
421,5.713329329,6.403508772
422,1.061422805,0.798955614
423,1.377228814,1.621409922
424,1.950860922,2.279373368
425,2.22876994,2.984334204
426,2.639540775,3.64229765
427,3.223343949,4.088772846
428,3.646806596,4.652741514
429,3.983975791,5.240208877
430,4.622413662,5.874673629
431,5.034542394,6.509138381
432,5.510776824,6.932114883
433,6.080174124,7.449086162
434,6.231225515,7.872062663
435,6.931552359,8.342036554
436,0.606248025,0.375979112
437,1.134654489,1.057441253
438,1.680267296,1.574412533
439,2.192934168,2.18537859
440,2.630505585,2.702349869
441,3.308301615,3.407310705
442,3.665130434,3.924281984
443,3.951134489,4.488250653
444,4.443927454,5.005221932
445,5.247690681,5.475195822
446,5.613696612,6.015665796
447,6.075306851,6.603133159
448,0.501905192,0.117493473
449,0.981273964,0.634464752
450,1.437547019,1.386422977
451,1.924203879,1.997389034
452,2.200066154,2.467362924
453,2.519173455,2.984334204
454,2.848026284,3.548302872
455,3.417102168,3.947780679
456,3.938593874,4.488250653
457,4.072850871,4.934725849
458,4.311145188,5.404699739
459,4.311145188,5.522193211
460,0.357167324,0.220444546
461,0.645983578,0.558638208
462,0.839507468,0.808535616
463,1.088286224,1.073081538
464,1.388669622,1.396408517
465,1.624413484,1.690126798
466,2.130276036,2.189578777
467,2.295687432,2.55682013
468,2.567825849,2.776703669
469,2.943240331,3.143695685
470,3.17054015,3.451750809
471,3.724377115,3.833204336
472,0.464844811,0.444444444
473,0.828278969,0.907407407
474,1.627552027,1.611111111
475,2.090975152,2.259259259
476,2.664664023,2.851851852
477,2.873695364,3.37037037
478,3.282313802,3.777777778
479,3.635189721,4.259259259
480,4.001299555,4.740740741
481,4.287411659,5.203703704
482,4.649622949,5.555555556
483,5.043179326,5.851851852
484,5.466549921,6.185185185
485,0.54990923,0.519678492
486,0.991325606,1.122505543
487,1.63899707,1.850055432
488,1.89447083,2.057926829
489,2.336981792,2.723115299
490,2.709203567,3.284368071
491,3.130167582,3.741685144
492,3.561106619,4.115853659
493,3.807883272,4.448447894
494,4.380331101,5.134423503
495,4.824018425,5.737250554
496,5.304433738,6.277716186
497,5.587924915,6.776607539
498,5.759939072,7.046840355
499,5.865998385,7.213137472
500,6.241809853,7.753603104
501,1.010736865,0.831485588
502,1.742211616,1.35116408
503,2.447920327,2.473669623
504,2.837075624,3.034922395
505,3.230795489,3.429878049
506,3.951668357,4.302937916
507,4.427039703,4.905764967
508,4.853910525,5.467017738
509,5.226906264,5.882760532
510,5.591184755,6.381651885
511,5.879979201,6.838968958
512,5.991759367,7.213137472
513,6.270775036,7.400221729
514,1.099164928,1.247228381
515,2.433404104,2.785476718
516,3.141670682,3.658536585
517,3.590105368,4.427660754
518,4.074377504,5.175997783
519,4.610263672,5.799611973
520,4.873417532,6.319290466
521,5.355794709,6.880543237
522,5.577887917,7.37943459
523,5.958739799,7.836751663
524,0.644911906,0.64440133
525,1.628215575,1.496674058
526,2.249150344,2.307372506
527,2.672928158,2.806263858
528,3.254050209,3.554600887
529,3.434384079,3.928769401
530,3.852992553,4.448447894
531,4.110263219,5.113636364
532,4.503778057,5.591740576
533,4.752068416,6.00748337
534,5.024792682,6.381651885
535,5.153875346,6.776607539
536,5.282495818,6.859756098
537,0.285121131,0.455968741
538,0.873510838,0.977918892
539,1.310136509,1.564909692
540,1.807580864,2.217625332
541,2.143280966,2.696899237
542,2.833768928,3.393745022
543,3.201393046,3.917063549
544,3.80324604,4.616560564
545,4.376117968,5.272184004
546,4.852430618,6.014442787
547,5.255436657,6.627304458
548,5.544441016,6.868523596
549,5.672381995,7.110341399
550,0.664518771,0.651860404
551,1.153088292,1.34750886
552,1.648191134,1.870228722
553,2.147238318,2.545223243
554,2.516381906,3.17660076
555,3.140304071,3.635135207
556,3.465304464,4.659407856
557,4.16200633,5.489328266
558,5.218796145,6.27486196
559,5.615716599,6.930913017
560,6.219916061,7.36733963
561,6.568495444,7.673684942
562,0.56550114,0.26084679
563,1.034781645,0.717585243
564,1.429284433,1.131305356
565,1.908478616,1.566876734
566,2.220741097,2.045894068
567,2.646896898,2.613000647
568,3.047143889,3.049341736
569,3.312862292,3.46451575
570,3.624241614,3.879433193
571,3.834138095,4.228967891
572,4.053748871,4.491268581
573,4.42310322,4.819379634
574,5.293566536,5.039346173
575,5.323918652,5.497538526
576,5.460053553,5.825649578
577,6.155934436,6.066783192
578,6.452862756,6.307831283
579,0.168862015,0.283555213
580,0.466906671,0.621301608
581,0.807886104,1.134475671
582,0.999141258,1.499232716
583,1.468746656,2.066937717
584,1.897527123,2.621109079
585,2.296013994,3.121429016
586,2.575404878,3.567784277
587,3.01781394,4.000634212
588,3.334675425,4.447017786
589,0.422104623,0.48
590,1.134797123,1.22
591,1.580590933,1.86
592,2.147238318,2.54
593,2.516381906,3.02
594,3.105963774,3.58
595,3.465304464,4.54
596,4.147682737,5.4
597,5.218796145,6.14
598,5.709263123,6.9
599,6.568495444,7.56
600,0.08115185,0.2
601,0.423778418,0.74
602,0.890169408,1.32
603,0.967311951,1.7
604,1.437394276,2.5
605,1.875363383,3.18
606,2.165810652,3.78
607,2.547009938,4.82
608,3.209919815,5.68
609,4.338154991,6.6
610,4.480206353,7.36
611,5.197061864,8.22
612,0.194958625,0.210515321
613,0.480718884,0.631570981
614,0.766969106,0.899401208
615,1.005949039,1.122594106
616,1.357191919,1.607306587
617,1.6440132,2.085564574
618,1.896582955,2.538342321
619,2.319238975,2.939940684
620,2.525826689,3.360808713
621,2.742435553,3.756058906
622,3.134293051,4.189635784
623,3.395213803,4.438177581
624,0.735154537,0.764553899
625,1.172192883,1.219287021
626,1.481590281,1.606246848
627,2.180725581,2.621937358
628,2.638005033,3.095770826
629,3.471110374,4.033558272
630,3.919889898,4.739164553
631,4.504942765,5.415672445
632,5.197864949,6.005016899
633,5.421171425,6.497436978
634,6.147262365,6.980359576
635,0.542393744,0.33
636,0.880797934,0.585
637,1.382975282,0.87
638,1.646287311,1.2
639,2.222450278,1.74
640,2.66220803,2.22
641,3.350263127,2.7
642,3.686828045,3.135
643,4.242700103,3.705
644,4.519158709,4.05
645,4.869809518,4.365
646,5.317787039,4.71
647,5.601202,5.055
648,5.639563886,5.385
649,6.041850687,5.64
650,0.141885996,0.184143223
651,0.408680019,0.414322251
652,0.8875786,0.644501279
653,1.158774652,0.859335038
654,1.628935262,1.3657289
655,1.993706717,1.826086957
656,2.401758249,2.225063939
657,2.681396536,2.578005115
658,2.875129776,2.961636829
659,3.263955385,3.299232737
660,3.550784652,3.667519182
661,3.597482234,3.974424552
662,4.092389206,4.31202046
663,4.14195152,4.588235294
664,4.542364983,5.063938619
665,0.676766023,0.508185722
666,1.494175156,1.42310789
667,2.231070149,2.373138084
668,2.798891643,3.22183642
669,3.439668814,3.902157139
670,4.055402356,4.785846082
671,4.573762964,5.399003623
672,5.245043166,5.944880569
673,5.490460224,6.354082797
674,5.86933439,6.763754697
675,0.842602747,0.486631016
676,1.736143093,1.235294118
677,2.590200633,2.096256684
678,3.396295634,3.032085561
679,3.831508296,3.705882353
680,4.463134182,4.529411765
681,5.053112552,5.240641711
682,5.599360276,5.839572193
683,6.055613163,6.363636364
684,6.555074165,6.85026738
685,1.154681967,0.698195965
686,1.943362597,1.460925283
687,2.841979088,2.162553873
688,3.571136346,2.92780045
689,4.158706992,3.725542545
690,4.774337126,4.459895496
691,5.46663498,5.196308021
692,5.960502151,5.932949388
693,6.593818078,6.637324078
694,0.355104866,0.375
695,1.149820591,1.075
696,1.757858345,1.775
697,2.469400034,2.5
698,3.147107208,3.1
699,3.564018178,3.675
700,4.007015504,4.2
701,4.019150029,4.675
702,0.440292663,0.475
703,0.888044753,0.875
704,1.316801042,1.35
705,1.704831642,1.85
706,2.243410962,2.45
707,2.74445035,3.025
708,3.099629944,3.6
709,3.343987744,4.275
710,0.28746685,0.175
711,0.896300137,0.75
712,1.366292285,1.325
713,1.832419507,1.975
714,2.208660636,2.525
715,2.855597698,3.175
716,2.958830258,3.95
717,0.659283974,0.523922287
718,1.479526455,1.511143876
719,2.300936058,2.376650359
720,2.9677658,3.100998593
721,3.670190038,3.885083663
722,4.308557471,4.648630938
723,4.491326319,5.251368318
724,4.916887553,5.894190887
725,5.431933437,6.496146371
726,0.223095373,0.108499096
727,0.668240546,0.632911392
728,1.073501016,1.012658228
729,1.453705093,1.600361664
730,2.074277732,2.215189873
731,2.628644485,2.992766727
732,2.858776955,3.300180832
733,3.152994474,3.589511754
734,3.478902199,3.896925859
735,3.776133443,4.168173599
736,0.760634179,0.328542094
737,1.462828641,1.084188912
738,2.079924142,1.790554415
739,2.596654023,2.496919918
740,3.342610252,3.186858316
741,3.750845419,3.893223819
742,4.439983983,4.616016427
743,4.815620839,5.190965092
744,5.383006708,5.585215606
745,6.13604569,6.209445585
746,0.529464521,0.427104723
747,1.438458619,1.199178645
748,2.037562221,2.168377823
749,2.699654085,3.137577002
750,3.230052447,3.893223819
751,3.905846824,4.616016427
752,4.421342368,5.240246407
753,5.057550286,5.848049281
754,5.457733836,6.472279261
755,5.771084264,6.81724846
756,6.026648016,7.162217659
757,0.605188597,0.258564964
758,1.518326985,1.050420168
759,2.406609891,1.842275372
760,3.099417079,2.537168714
761,3.64386408,3.199741435
762,4.238512839,3.797672915
763,4.591480443,4.379444085
764,4.856466263,4.815772463
765,5.36118505,5.381383323
766,5.796401395,5.963154493
767,0.443638945,0.307045895
768,1.26125009,1.018099548
769,2.009468477,1.74531351
770,2.467766967,2.375565611
771,2.903917709,3.021978022
772,3.445578265,3.603749192
773,3.883052446,4.0885585
774,4.294801287,4.573367809
775,4.644787876,4.928894635
776,0.273426037,0.210084034
777,1.266685379,0.888817065
778,1.875586878,1.438267615
779,2.344262711,2.003878474
780,3.028510389,2.504848093
781,3.354920894,2.957336781
782,3.905586743,3.425985779
783,4.427069368,3.765352295
784,4.713215161,4.104718811
785,0.647195357,0.339366516
786,1.512489769,1.260504202
787,2.152977931,2.117000646
788,2.84031436,2.876535229
789,3.498797285,3.539107951
790,4.091640136,4.217840983
791,4.41386931,4.65416936
792,4.691796251,5.155138979
793,5.242414383,5.623787977
794,5.513314187,6.043956044
795,5.999970965,6.36716225
796,0.22773664,0.210084034
797,1.101924162,1.034259858
798,1.558046252,1.680672269
799,2.282289119,2.375565611
800,2.62418219,2.876535229
801,3.071585131,3.50678733
802,3.509390145,4.07239819
803,3.739823228,4.573367809
804,4.486948135,5.155138979
805,4.855439876,5.639948287
806,0.208597843,0.197972759
807,0.667806778,0.781992398
808,1.112668201,1.316518847
809,1.514258328,1.791653468
810,1.824720722,2.256889452
811,2.124181563,2.662733608
812,2.384272768,3.157665505
813,2.82105975,3.583306937
814,3.05069266,3.909961989
815,3.307271875,4.187123852
816,3.516587318,4.355400697
817,0.78592425,0.937728938
818,1.933793569,2.432234432
819,3.029640828,3.985347985
820,3.991661908,5.304029304
821,4.371745615,6.32967033
822,4.971248859,7.384615385
823,5.716246335,8.087912088
824,0.135193374,0.294477434
825,1.024929796,1.03209706
826,1.833567544,1.888880224
827,2.680782721,2.775966755
828,3.470245169,3.663766308
829,3.789510799,4.226517675
830,4.484761283,4.967256765
831,5.013396401,5.441326218
832,1.145291708,0.774193548
833,2.46869284,2.167741935
834,3.266565919,3.367741935
835,4.384361254,4.412903226
836,5.233178839,5.419354839
837,5.757668528,6.270967742
838,6.373995682,7.122580645
839,0.487122552,0.42
840,1.57603969,1.56
841,2.651581405,2.73
842,3.442212936,3.51
843,3.743702286,4.17
844,4.625628665,4.89
845,5.117044242,5.52
846,0.737630953,0.378933728
