Gas,Model_name,CV_r2,CV_mse,test_r2_separa_model,test_mse_separa_model,,,CV_r2,CV_mse,test_r2_separa_model,test_mse_separa_model
CO2,DT_separate,0.872067477,1.718154762,0.879710309,1.538134373,,,0.012296329,0.157856459,0.019615021,0.202471423
CO2,ADBR_separate,0.828370119,2.297850725,0.774073028,2.2070971,,,0.004212804,0.04862858,0.036363979,0.154069989
CO2,GBR_separate,0.933133415,0.896943477,0.936274696,0.778155599,,,0.007354774,0.094020429,0.010737702,0.092200767
CO2,BG_separate,0.921554942,1.052787827,0.922605139,0.932627341,,,0.008554804,0.113151025,0.013796256,0.126410479
CO2,ETR_separate,0.927561703,0.971732141,0.926028234,0.890902923,,,0.009761936,0.12856384,0.015717979,0.144499593
CO2,RF_separate,0.921674244,1.051288047,0.922999401,0.927874955,,,0.008562067,0.113529774,0.013756588,0.124717367
CO2,LGBM_separate,0.927292155,0.97814631,0.932213752,0.837611273,,,0.010892352,0.143956787,0.016119927,0.1824531
CO2,BGLGBM_separate,0.935973806,0.861221952,0.93766068,0.753489454,,,0.009250698,0.123791766,0.013735696,0.155062927
CO2,BGETR_separate,0.930487416,0.932629946,0.928820662,0.848487388,,,0.008032685,0.105031454,0.014226604,0.125978318
CFCs,DT_separate,0.794641204,3.877401464,0.811024509,3.441563019,,,0.086341288,1.621747715,0.128027133,2.506475795
CFCs,ADBR_separate,0.743865298,4.814527291,0.595582607,4.599173956,,,0.059956417,1.223335407,0.142743391,1.358759158
CFCs,GBR_separate,0.908679642,1.770412297,0.916051882,1.661889943,,,0.030046262,0.698122316,0.055330726,1.445857881
CFCs,BG_separate,0.884451181,2.184122824,0.884185511,1.941930404,,,0.03912941,0.804789801,0.099729156,1.645440401
CFCs,ETR_separate,0.927783371,1.379010183,0.917401587,1.30447277,,,0.015686735,0.323565334,0.04804358,0.831353159
CFCs,RF_separate,0.885190831,2.175564645,0.885662628,1.91282747,,,0.038678056,0.802179882,0.097373927,1.604109985
CFCs,LGBM_separate,0.89838153,1.949714236,0.908647814,1.771656054,,,0.043804699,0.866176549,0.084349402,1.805597795
CFCs,BGLGBM_separate,0.913285103,1.695217573,0.909925444,1.634458837,,,0.032079205,0.632800598,0.075418348,1.533238962
CFCs,BGETR_separate,0.923745757,1.458988607,0.912047514,1.337168291,,,0.01551893,0.322661822,0.047947489,0.754552433
Methane,DT_separate,0.831777813,1.914466619,0.84160104,1.832710675,,,0.015126221,0.16349047,0.026584686,0.324125897
Methane,ADBR_separate,0.793133918,2.35284137,0.773898806,2.107810032,,,0.050158468,0.576675968,0.04234403,0.280569821
Methane,GBR_separate,0.906092009,1.068205658,0.911022489,0.963186746,,,0.008342556,0.091356767,0.016575312,0.151958506
Methane,BG_separate,0.896587905,1.179852452,0.899549726,1.076136525,,,0.011753419,0.131538373,0.022485931,0.242253915
Methane,ETR_separate,0.89986356,1.143578061,0.900132191,1.047319224,,,0.013427017,0.148646901,0.023921599,0.248519432
Methane,RF_separate,0.896907906,1.176156869,0.899851676,1.071780008,,,0.011775593,0.132015477,0.022529751,0.241305161
Methane,LGBM_separate,0.898722846,1.152664976,0.909619722,1.003178481,,,0.014352982,0.167332489,0.016483679,0.166739281
Methane,BGLGBM_separate,0.914430912,0.975101691,0.918671205,0.86466111,,,0.01033415,0.119824931,0.015245633,0.147487146
Methane,BGETR_separate,0.902130852,1.117708193,0.900743672,1.027419267,,,0.012208845,0.133505906,0.023089303,0.23902853
E&E,DT_separate,0.819329244,1.324484402,0.830496486,1.242954872,,,0.01480362,0.104033533,0.04376568,0.24801797
E&E,ADBR_separate,0.731623756,1.968144804,0.518080462,1.992075362,,,0.025612782,0.185916454,0.094954615,0.24516185
E&E,GBR_separate,0.920161657,0.585034859,0.929536722,0.518059791,,,0.0082709,0.057494252,0.019201538,0.133101223
E&E,BG_separate,0.881005721,0.872846477,0.881002244,0.792652545,,,0.010028582,0.069321329,0.04012913,0.20011384
E&E,ETR_separate,0.882566664,0.860321659,0.881556125,0.793193932,,,0.015917202,0.11539853,0.038785423,0.229547453
E&E,RF_separate,0.881299603,0.870693194,0.880883198,0.793875483,,,0.009992795,0.069312288,0.040709931,0.203586896
E&E,LGBM_separate,0.920520792,0.583078244,0.935544146,0.454848803,,,0.008599832,0.060038904,0.023792206,0.147930305
E&E,BGLGBM_separate,0.92687921,0.536643345,0.935444258,0.439016486,,,0.007932378,0.055592899,0.025430351,0.147152604
E&E,BGETR_separate,0.885539639,0.839177154,0.881467376,0.774424525,,,0.014435922,0.104311794,0.03860731,0.220296472
