,Gas,Model_name,CV_r2,CV_mse,test_r2_total_model,test_mse_by_total_model,test_r2_separa_model,test_mse_separa_model,best_param
0,CO2,DT_separate,0.8914752524719235,1.628301217475224,-1,-1,0.9124103837418599,1.497030069165128,{'criterion': 'friedman_mse'}
1,CO2,ADBR_separate,0.8379033899286347,2.382360393290925,-1,-1,0.8217698764043836,2.276299071492609,"{'learning_rate': 0.1, 'loss': 'exponential', 'n_estimators': 100}"
2,CO2,GBR_separate,0.9390280991572586,0.9046287917743123,-1,-1,0.9529013517754874,0.791705617307657,"{'learning_rate': 0.5, 'n_estimators': 200}"
3,CO2,BG_separate,0.9359279564044906,0.9519172109632257,-1,-1,0.9432708923554607,0.9448718405317421,{'n_estimators': 100}
4,CO2,ETR_separate,0.9425578619932942,0.8547056809603513,-1,-1,0.938978202005295,0.989592650737895,{'n_estimators': 200}
5,CO2,RF_separate,0.9366026329076647,0.9419839247304166,-1,-1,0.9440071537775614,0.9350980725577148,{'n_estimators': 200}
6,CO2,LGBM_separate,0.9398296162222582,0.8923845585074053,-1,-1,0.951047872640946,0.7753230702969673,"{'learning_rate': 0.5, 'n_estimators': 200, 'num_leaves': 50}"
7,CO2,BGLGBM_separate,0.9476029516685832,0.7777531349857716,-1,-1,0.9453050814030002,0.8383661208549525,{'n_estimators': 10}
8,CO2,BGETR_separate,0.9440695301825348,0.8317178021665009,-1,-1,0.9404499741769786,0.9593337772665325,{'n_estimators': 10}
9,CFCs,DT_separate,0.754415064552712,1.891767069943279,-1,-1,0.8086016476648249,2.017718308704397,{'criterion': 'absolute_error'}
10,CFCs,ADBR_separate,0.6771886986882092,2.126311783111718,-1,-1,0.6130261216706727,3.4592288011055055,"{'learning_rate': 2, 'loss': 'linear', 'n_estimators': 200}"
11,CFCs,GBR_separate,0.8070341059956613,1.2364453527902828,-1,-1,0.8454169976698451,1.4876156524476258,"{'learning_rate': 0.1, 'n_estimators': 200}"
12,CFCs,BG_separate,0.7172986537068722,1.8262232527074225,-1,-1,0.8138380563845067,1.8523927927908241,{'n_estimators': 50}
13,CFCs,ETR_separate,0.7609711438109794,1.4882496553986393,-1,-1,0.8264696218875869,1.681849043170946,{'n_estimators': 180}
14,CFCs,RF_separate,0.7083680467908247,1.815708395501416,-1,-1,0.8109332458790698,1.873704809989465,{'n_estimators': 50}
15,CFCs,LGBM_separate,0.830462576715046,0.7802688834999516,-1,-1,0.9532499275715194,0.5587627255363941,"{'learning_rate': 0.5, 'n_estimators': 200, 'num_leaves': 20}"
16,CFCs,BGLGBM_separate,0.8698075570166491,0.9588174472761987,-1,-1,0.9042572173601406,1.0331940488781548,{'n_estimators': 50}
17,CFCs,BGETR_separate,0.7613907118803718,1.4164673244172508,-1,-1,0.8078945640371408,1.8180675149536936,{'n_estimators': 10}
18,Methane,DT_separate,0.8519666705753668,1.736972346259178,-1,-1,0.8815739579019797,1.4913026890103085,{'criterion': 'squared_error'}
19,Methane,ADBR_separate,0.8223234575653102,2.0697123740314307,-1,-1,0.7633185409631751,2.362693117692876,"{'learning_rate': 1, 'loss': 'square', 'n_estimators': 100}"
20,Methane,GBR_separate,0.9004130490350015,1.1654100031453918,-1,-1,0.9380254705922991,0.7564435071623616,"{'learning_rate': 0.5, 'n_estimators': 200}"
21,Methane,BG_separate,0.9090200789901811,1.085614349715589,-1,-1,0.9234655989459407,0.8872890657711868,{'n_estimators': 100}
22,Methane,ETR_separate,0.9159537422889826,0.9994700366732294,-1,-1,0.9348664371152106,0.7624551210712857,{'n_estimators': 150}
23,Methane,RF_separate,0.9099024057960566,1.0756439130058826,-1,-1,0.9240260909091204,0.8845354133337199,{'n_estimators': 200}
24,Methane,LGBM_separate,0.9221136062180666,0.9294937336773321,-1,-1,0.9360737370209888,0.7591967099636332,"{'learning_rate': 0.1, 'n_estimators': 200, 'num_leaves': 50}"
25,Methane,BGLGBM_separate,0.923560665896515,0.9093361044410168,-1,-1,0.9398719717517174,0.7023717452483945,{'n_estimators': 50}
26,Methane,BGETR_separate,0.9151614365005611,1.0143533731308352,-1,-1,0.9325986859810421,0.7753380981628007,{'n_estimators': 10}
27,E&E,DT_separate,0.8550593507438409,1.1733281199635874,-1,-1,0.8717876517466441,0.8714040845848725,{'criterion': 'friedman_mse'}
28,E&E,ADBR_separate,0.7631732685760646,1.910107843288983,-1,-1,0.5773531093754509,1.6772355153568619,"{'learning_rate': 1, 'loss': 'square', 'n_estimators': 150}"
29,E&E,GBR_separate,0.9367437437135375,0.513454125146368,-1,-1,0.9434418200946436,0.3764774645486765,"{'learning_rate': 0.5, 'n_estimators': 200}"
30,E&E,BG_separate,0.9109144445625414,0.7266495709723985,-1,-1,0.9289349662329146,0.4619250226089149,{'n_estimators': 100}
31,E&E,ETR_separate,0.9132433517160153,0.6986868414362548,-1,-1,0.91219573375029,0.5587932361960384,{'n_estimators': 180}
32,E&E,RF_separate,0.9108900992595604,0.7276632686480714,-1,-1,0.930280393372248,0.45484810337704834,{'n_estimators': 200}
33,E&E,LGBM_separate,0.9409063195726969,0.47845838952905934,-1,-1,0.9416821291086479,0.40590989737549404,"{'learning_rate': 0.1, 'n_estimators': 200, 'num_leaves': 50}"
34,E&E,BGLGBM_separate,0.9435758495773419,0.45775192697546735,-1,-1,0.9468876324629184,0.3637425726906773,{'n_estimators': 50}
35,E&E,BGETR_separate,0.9125520339695814,0.7055558482638156,-1,-1,0.9168213675185288,0.5134314474469266,{'n_estimators': 10}
