,Gas,Model_name,CV_r2,CV_mse,test_r2_total_model,test_mse_by_total_model,test_r2_separa_model,test_mse_separa_model,best_param
0,CO2,DT_separate,0.8891999893501158,1.6662797327033183,-1,-1,0.9053814229956922,1.6234721036096786,{'criterion': 'squared_error'}
1,CO2,ADBR_separate,0.8367756728310012,2.398874945789827,-1,-1,0.82011597302481,2.309064508238879,"{'learning_rate': 0.1, 'loss': 'exponential', 'n_estimators': 100}"
2,CO2,GBR_separate,0.9420821038997758,0.8601372417712824,-1,-1,0.9605603801676772,0.6762151793585987,"{'learning_rate': 0.5, 'n_estimators': 200}"
3,CO2,BG_separate,0.9365276269255501,0.9430042318410139,-1,-1,0.9442794461107449,0.9275354989940713,{'n_estimators': 100}
4,CO2,ETR_separate,0.943308889486552,0.8431366041033221,-1,-1,0.9444410029246962,0.9097075624616083,{'n_estimators': 200}
5,CO2,RF_separate,0.9370471917441391,0.9358019766060466,-1,-1,0.9451249830088735,0.9185999033153435,{'n_estimators': 200}
6,CO2,LGBM_separate,0.9435889564127835,0.8458301959189791,-1,-1,0.9604868254490048,0.6415784916365945,"{'learning_rate': 0.5, 'n_estimators': 200, 'num_leaves': 30}"
7,CO2,BGLGBM_separate,0.949227714317123,0.755314474242313,-1,-1,0.952647908242407,0.7420728453183749,{'n_estimators': 30}
8,CO2,BGETR_separate,0.9442455537109279,0.8297213557435172,-1,-1,0.9441493193524548,0.9040772676965318,{'n_estimators': 10}
9,CFCs,DT_separate,0.6976261082425792,1.906988416091561,-1,-1,0.8123847728570818,2.0167422958628625,{'criterion': 'absolute_error'}
10,CFCs,ADBR_separate,0.6380786019277074,2.100604770866396,-1,-1,0.6037791603029367,3.7381112633389098,"{'learning_rate': 1, 'loss': 'square', 'n_estimators': 150}"
11,CFCs,GBR_separate,0.8127232052361375,1.2534193361037684,-1,-1,0.8605140859274021,1.3906273424148463,"{'learning_rate': 0.1, 'n_estimators': 200}"
12,CFCs,BG_separate,0.7122474427868141,1.8091728292349933,-1,-1,0.8124973453640429,1.855827172139198,{'n_estimators': 50}
13,CFCs,ETR_separate,0.7381328362876437,1.5524545853831178,-1,-1,0.8411652530245582,1.5736679170874948,{'n_estimators': 180}
14,CFCs,RF_separate,0.7191363652463467,1.814655180389614,-1,-1,0.8148962771928753,1.8354938484986156,{'n_estimators': 50}
15,CFCs,LGBM_separate,0.8361835674522593,0.7683579401224252,-1,-1,0.9449596515365352,0.648490405590251,"{'learning_rate': 0.5, 'n_estimators': 200, 'num_leaves': 20}"
16,CFCs,BGLGBM_separate,0.8682827195954854,0.9739670181082977,-1,-1,0.9048866927122738,1.0221859024739155,{'n_estimators': 50}
17,CFCs,BGETR_separate,0.7543071205927948,1.4955093945786326,-1,-1,0.8180949446895274,1.7508518237126869,{'n_estimators': 10}
18,Methane,DT_separate,0.8426091037152542,1.8588820862263418,-1,-1,0.896369023869523,1.3242279178351033,{'criterion': 'squared_error'}
19,Methane,ADBR_separate,0.8263920720999041,2.0200493437127505,-1,-1,0.774642563233382,2.1145752712556907,"{'learning_rate': 1, 'loss': 'square', 'n_estimators': 120}"
20,Methane,GBR_separate,0.9023921734928957,1.1301907654410053,-1,-1,0.9189216915701923,0.9857174437517461,"{'learning_rate': 0.5, 'n_estimators': 200}"
21,Methane,BG_separate,0.9083221089466917,1.1065489003212456,-1,-1,0.927456177010067,0.8578539780281674,{'n_estimators': 100}
22,Methane,ETR_separate,0.9190786109009486,0.9661404183940693,-1,-1,0.9354016655702304,0.7614712071731427,{'n_estimators': 150}
23,Methane,RF_separate,0.9091587825868185,1.0961569708544965,-1,-1,0.9274229150755688,0.8574391090274786,{'n_estimators': 150}
24,Methane,LGBM_separate,0.9198517919072856,0.9560646542164472,-1,-1,0.9365205621650037,0.7486865075536709,"{'learning_rate': 0.1, 'n_estimators': 200, 'num_leaves': 50}"
25,Methane,BGLGBM_separate,0.9221694405355498,0.9235624430570157,-1,-1,0.9394708786235433,0.7054705916945444,{'n_estimators': 50}
26,Methane,BGETR_separate,0.9190440004766499,0.9684966909615467,-1,-1,0.9354595317648456,0.747478510181275,{'n_estimators': 10}
27,E&E,DT_separate,0.8730120401274972,1.0403216195347027,-1,-1,0.8617956552003947,0.9134138126811953,{'criterion': 'squared_error'}
28,E&E,ADBR_separate,0.7769261006521975,1.7792499614309008,-1,-1,0.6689408273382118,1.4648784761174205,"{'learning_rate': 2, 'loss': 'square', 'n_estimators': 100}"
29,E&E,GBR_separate,0.9371225880189193,0.5143304448188347,-1,-1,0.9414261084324937,0.38655919972297337,"{'learning_rate': 0.5, 'n_estimators': 200}"
30,E&E,BG_separate,0.9128658410959656,0.7089105478221112,-1,-1,0.9165116525075397,0.5282475609464395,{'n_estimators': 100}
31,E&E,ETR_separate,0.9233420769141392,0.6200919203837911,-1,-1,0.9160167819008933,0.5261768853485805,{'n_estimators': 200}
32,E&E,RF_separate,0.9127336220406697,0.7096615301709781,-1,-1,0.9183128494950961,0.5166058667676023,{'n_estimators': 150}
33,E&E,LGBM_separate,0.9455375232839438,0.44177672838368204,-1,-1,0.9411949621592485,0.39497866286300287,"{'learning_rate': 0.1, 'n_estimators': 200, 'num_leaves': 30}"
34,E&E,BGLGBM_separate,0.9449084708596901,0.44725035128154317,-1,-1,0.9445302845002645,0.37163164828344364,{'n_estimators': 50}
35,E&E,BGETR_separate,0.9218355870444853,0.6338466558478191,-1,-1,0.9163670533114007,0.508416036639227,{'n_estimators': 10}
