,Gas,Model_name,CV_r2,CV_mse,test_r2_total_model,test_mse_by_total_model,test_r2_separa_model,test_mse_separa_model,best_param
0,CO2,DT_separate,0.8972588637117012,1.598277263894876,-1,-1,0.86935019355668,1.7416079984781694,{'criterion': 'friedman_mse'}
1,CO2,ADBR_separate,0.8492997186665123,2.3141381434974724,-1,-1,0.7743528899012461,2.5005008460645795,"{'learning_rate': 0.1, 'loss': 'exponential', 'n_estimators': 120}"
2,CO2,GBR_separate,0.9491489244250981,0.789182967287666,-1,-1,0.9398298214973819,0.7920890069961813,"{'learning_rate': 0.5, 'n_estimators': 200}"
3,CO2,BG_separate,0.9380325806409949,0.9646984489640307,-1,-1,0.9246634589134002,0.9508191350906433,{'n_estimators': 100}
4,CO2,ETR_separate,0.9406502857733532,0.9253258336894842,-1,-1,0.9323763727004054,0.862370595918279,{'n_estimators': 200}
5,CO2,RF_separate,0.9384173247687719,0.9585090916141514,-1,-1,0.9255973257374386,0.9432194290242943,{'n_estimators': 180}
6,CO2,LGBM_separate,0.9461385826251666,0.8399349073742215,-1,-1,0.9397917922826314,0.7997341012280883,"{'learning_rate': 0.5, 'n_estimators': 200, 'num_leaves': 50}"
7,CO2,BGLGBM_separate,0.9521258001002126,0.7453078886022826,-1,-1,0.938542121007788,0.7586117638096573,{'n_estimators': 50}
8,CO2,BGETR_separate,0.9417724965857911,0.9056991597270212,-1,-1,0.9322686769028335,0.8493266770633995,{'n_estimators': 10}
9,CFCs,DT_separate,0.702255926720613,2.3611293795618926,-1,-1,0.8545676640172111,2.391793545084443,{'criterion': 'friedman_mse'}
10,CFCs,ADBR_separate,0.6715466833204665,2.542440520983904,-1,-1,0.863033715630181,2.0323907744024767,"{'learning_rate': 2, 'loss': 'exponential', 'n_estimators': 120}"
11,CFCs,GBR_separate,0.8753295682835581,1.371088820957295,-1,-1,0.9049577516387447,1.6649660771577746,"{'learning_rate': 0.1, 'n_estimators': 200}"
12,CFCs,BG_separate,0.7827873882376177,2.0538719117950617,-1,-1,0.8807681816294088,1.9554406709038692,{'n_estimators': 100}
13,CFCs,ETR_separate,0.831218054338861,1.5687747514329344,-1,-1,0.8930837699351984,1.8695786508591028,{'n_estimators': 120}
14,CFCs,RF_separate,0.7798369843826702,2.0507615953857363,-1,-1,0.8854285718762497,1.8758614357059291,{'n_estimators': 200}
15,CFCs,LGBM_separate,0.9019657171617824,1.157225735660353,-1,-1,0.8957202392244312,1.85517139810008,"{'learning_rate': 0.5, 'n_estimators': 200, 'num_leaves': 10}"
16,CFCs,BGLGBM_separate,0.8806636239579582,1.4702791715983055,-1,-1,0.8839895688824605,2.1182950341028772,{'n_estimators': 50}
17,CFCs,BGETR_separate,0.8366043730039372,1.5376252000172232,-1,-1,0.8959858304358724,1.7837996498355746,{'n_estimators': 10}
18,Methane,DT_separate,0.7785826629988979,2.668930578438175,-1,-1,0.8896968584204993,1.5704051217784463,{'criterion': 'squared_error'}
19,Methane,ADBR_separate,0.7792784468790231,2.603557820987326,-1,-1,0.7900485103249454,2.3943820654801216,"{'learning_rate': 1, 'loss': 'square', 'n_estimators': 180}"
20,Methane,GBR_separate,0.8733438024157163,1.552543935752859,-1,-1,0.9237762362102255,0.9605838032129209,"{'learning_rate': 0.5, 'n_estimators': 200}"
21,Methane,BG_separate,0.8678492914267025,1.6467248057121886,-1,-1,0.9359293249346549,0.8293670063860387,{'n_estimators': 50}
22,Methane,ETR_separate,0.8777892373421998,1.5992140167001498,-1,-1,0.9452495721232894,0.7026220644224007,{'n_estimators': 150}
23,Methane,RF_separate,0.8677494246128891,1.6490047536144516,-1,-1,0.9360216282372131,0.8257694299042759,{'n_estimators': 50}
24,Methane,LGBM_separate,0.8720631547027432,1.5455880548188412,-1,-1,0.9442704383859394,0.7513629909111099,"{'learning_rate': 0.5, 'n_estimators': 200, 'num_leaves': 30}"
25,Methane,BGLGBM_separate,0.8841308988672102,1.4614629969797406,-1,-1,0.9499921956098416,0.6483511392921331,{'n_estimators': 50}
26,Methane,BGETR_separate,0.878031165457722,1.5992027289063226,-1,-1,0.941148904671537,0.7365476108506117,{'n_estimators': 10}
27,E&E,DT_separate,0.8653756992521917,1.0697419531902632,-1,-1,0.8691862652512613,0.9290087103577019,{'criterion': 'squared_error'}
28,E&E,ADBR_separate,0.7522747199934889,2.0078486185473414,-1,-1,0.6434530244476209,1.6818405514594161,"{'learning_rate': 0.5, 'loss': 'exponential', 'n_estimators': 50}"
29,E&E,GBR_separate,0.9328264899949911,0.5376964417234151,-1,-1,0.9488656193379167,0.3789407667496561,"{'learning_rate': 0.5, 'n_estimators': 200}"
30,E&E,BG_separate,0.9101589732839631,0.7198187194949313,-1,-1,0.9097525274273643,0.6035419806668268,{'n_estimators': 100}
31,E&E,ETR_separate,0.921495265183025,0.6378632313802493,-1,-1,0.9363795262240665,0.42346242649029003,{'n_estimators': 200}
32,E&E,RF_separate,0.909298086789647,0.7270037323370296,-1,-1,0.9101117893689574,0.5989785054347085,{'n_estimators': 200}
33,E&E,LGBM_separate,0.9359135526344635,0.5194955865206932,-1,-1,0.9451655547435561,0.3729747616498568,"{'learning_rate': 0.1, 'n_estimators': 200, 'num_leaves': 50}"
34,E&E,BGLGBM_separate,0.9407225630876335,0.48264334566177264,-1,-1,0.9533513654286245,0.318945513863227,{'n_estimators': 50}
35,E&E,BGETR_separate,0.922055386174922,0.6353336815838286,-1,-1,0.9363084533269744,0.4171129050294323,{'n_estimators': 10}
