,Unnamed: 0,CV_r2,CV_mse,test_r2_separa_model,test_mse_separa_model,kpg_pca_mse
0,0,0.863044942,1.601011345,0.849985809,1.42426921,0.033620619
1,1,0.829747321,1.934618919,0.826668887,1.741118489,0.033620619
0,0,0.884672572,1.357834894,0.858242207,1.352455517,0.031923877
1,1,0.852389717,1.721004501,0.853669021,1.510837734,0.031923877
0,0,0.893685157,1.317092257,0.86913673,1.266795334,0.03079963
1,1,0.865448242,1.648086846,0.854355047,1.476218859,0.03079963
0,0,0.895444353,1.276659492,0.875740083,1.218869997,0.029721157
1,1,0.871229715,1.560866243,0.861351482,1.430778775,0.029721157
0,0,0.902874366,1.22503175,0.882927279,1.154980553,0.028648004
1,1,0.879364216,1.521259604,0.869279336,1.364582649,0.028648004
0,0,0.906374268,1.1830903,0.885669216,1.109839928,0.028506208
1,1,0.885087807,1.457695356,0.869041107,1.342878092,0.028506208
0,0,0.910978705,1.15937654,0.890582527,1.080618099,0.027851501
1,1,0.892428513,1.402102428,0.875500719,1.307980232,0.027851501
0,0,0.910133127,1.141147717,0.89050091,1.090364898,0.027599399
1,1,0.892378738,1.376213011,0.877724919,1.240573177,0.027599399
0,0,0.910870872,1.14161907,0.894141686,1.051813288,0.027072758
1,1,0.894769383,1.343114756,0.879637526,1.225026385,0.027072758
0,0,0.914510175,1.114837795,0.895641541,1.044602759,0.026677939
1,1,0.89759708,1.337677262,0.887300745,1.172686249,0.026677939
0,0,0.917458132,1.081241701,0.899482103,0.990968525,0.026263542
1,1,0.902205434,1.280979758,0.889252795,1.139574084,0.026263542
0,0,0.919010286,1.062268237,0.901906786,0.967078451,0.026074059
1,1,0.905233923,1.244586924,0.896946577,1.071205929,0.026074059
0,0,0.919861889,1.043210068,0.900575478,0.977723778,0.025561376
1,1,0.90799169,1.202167554,0.894689375,1.099067119,0.025561376
0,0,0.919981647,1.056025975,0.903460365,0.949769146,0.02543456
1,1,0.90985377,1.190491449,0.89701848,1.053890133,0.02543456
0,0,0.922282098,1.027856457,0.905411519,0.937726514,0.025099745
1,1,0.912177675,1.164165149,0.900491225,1.060788809,0.025099745
0,0,0.923328729,1.013144717,0.905699448,0.938737395,0.024736798
1,1,0.913619885,1.143383506,0.904114321,1.015193239,0.024736798
0,0,0.92549121,0.989561437,0.905326934,0.941809328,0.024385536
1,1,0.91591963,1.119903811,0.904959206,0.981859187,0.024385536
0,0,0.926860168,0.970539281,0.906113457,0.930069301,0.024208985
1,1,0.919223577,1.07609162,0.906528213,0.970871963,0.024208985
0,0,0.927640474,0.966198283,0.907502414,0.92101869,0.023850326
1,1,0.921011994,1.057802861,0.907169145,0.972874425,0.023850326
0,0,0.928144322,0.963750594,0.910873226,0.888480716,0.02367704
1,1,0.921693333,1.053976309,0.91070462,0.950358655,0.02367704
0,0,0.928939743,0.945648981,0.912638768,0.876805559,0.023257157
1,1,0.924238594,1.010846837,0.913554712,0.906130633,0.023257157
0,0,0.930208093,0.933084373,0.915615249,0.854815382,0.022972156
1,1,0.924665092,1.008690781,0.916796507,0.894553092,0.022972156
0,0,0.930931518,0.917323691,0.916599537,0.847089364,0.022639796
1,1,0.925904574,0.987881518,0.914682572,0.899481642,0.022639796
0,0,0.931200338,0.916043518,0.917076194,0.840818442,0.022352471
1,1,0.92752401,0.968210865,0.917406353,0.881451613,0.022352471
0,0,0.931807882,0.906972547,0.917476984,0.829191448,0.022042987
1,1,0.928215449,0.956328407,0.916229397,0.891414608,0.022042987
0,0,0.931583532,0.906036479,0.917799675,0.830648062,0.021766911
1,1,0.929182984,0.939273817,0.919416691,0.876631522,0.021766911
0,0,0.932931672,0.896002563,0.917665365,0.831872807,0.021460155
1,1,0.930733429,0.925573335,0.921143132,0.854359106,0.021460155
0,0,0.933129827,0.889811307,0.917925767,0.829446312,0.02136756
1,1,0.932638603,0.899907499,0.924084257,0.811545829,0.02136756
0,0,0.933334566,0.887760603,0.918493171,0.822461541,0.021036992
1,1,0.933625661,0.885352974,0.923247804,0.813052349,0.021036992
0,0,0.934501328,0.869199301,0.919580137,0.813243979,0.020735863
1,1,0.93463462,0.869739092,0.925513353,0.809742736,0.020735863
0,0,0.935441591,0.857650273,0.919696653,0.812182083,0.020417553
1,1,0.93583135,0.854740159,0.925926872,0.787060716,0.020417553
0,0,0.935660591,0.85570324,0.919589323,0.811242718,0.020180819
1,1,0.937106295,0.839661905,0.929718625,0.75796041,0.020180819
0,0,0.936278247,0.847795034,0.920254623,0.799348989,0.01989603
1,1,0.937712957,0.830881014,0.928032949,0.75760582,0.01989603
0,0,0.936667001,0.843023909,0.919564409,0.807397642,0.019594236
1,1,0.938694789,0.818743231,0.929648231,0.738788721,0.019594236
0,0,0.936788056,0.839106195,0.921392307,0.786804121,0.019256162
1,1,0.939645036,0.802624981,0.929980793,0.757369272,0.019256162
0,0,0.937275032,0.829381326,0.92325878,0.770720482,0.019082202
1,1,0.94046622,0.788958054,0.935111412,0.693320378,0.019082202
0,0,0.93758261,0.825587803,0.923295934,0.768563848,0.018764262
1,1,0.941596222,0.776447577,0.93231153,0.730668556,0.018764262
0,0,0.937851495,0.823383141,0.923978379,0.762486727,0.018563683
1,1,0.942346463,0.766408072,0.933661965,0.717433821,0.018563683
0,0,0.938766929,0.814650762,0.925299852,0.750646664,0.018223698
1,1,0.943313973,0.757326914,0.934892899,0.694832206,0.018223698
