,Unnamed: 0,CV_r2,CV_mse,test_r2_separa_model,test_mse_separa_model,kpg_pca_mse
0,0,0.0381189044502435,0.4856237765874679,0.082241518274123,0.9423030685700045,0.0032034759986085
1,1,0.0456769622161129,0.625678145685628,0.0898666586254483,1.1544364070219602,0.0032034759986085
0,0,0.0243359862935082,0.2607218495471203,0.0803557042768905,0.8399525200553927,0.002507519750207
1,1,0.0369674998374787,0.4504742716803408,0.0782957594614837,0.8574352614710534,0.002507519750207
0,0,0.0227416152611308,0.3109053244627622,0.0732456937404469,0.7230155774518565,0.0022208341404933
1,1,0.0307461483605598,0.392090285812178,0.0761251524087445,0.7397492529133028,0.0022208341404933
0,0,0.0227525537508466,0.2726933009652607,0.0643554902839109,0.6672234503076349,0.002461156381204
1,1,0.0278451931260396,0.3306143023287849,0.0621126810657093,0.6903818374768491,0.002461156381204
0,0,0.0168461817160218,0.2481215576572031,0.0632161837464768,0.6368321237950673,0.0022134322821512
1,1,0.021845657193952,0.3267053226665015,0.0599122200649931,0.6714711852102897,0.0022134322821512
0,0,0.0157936017464052,0.1989032837631175,0.0622141269219521,0.5289486516513007,0.0025004000226734
1,1,0.021234811666365,0.2532689162627494,0.0620014675668679,0.6967077698918296,0.0025004000226734
0,0,0.0148840218268294,0.1887353584444643,0.0595634086861057,0.5472259038294922,0.0022333774065703
1,1,0.0179266256817179,0.22048801845,0.0610876717374386,0.7153111171483483,0.0022333774065703
0,0,0.0147379041819261,0.1586268398814263,0.0565766726384243,0.5591273944309165,0.0020264069162603
1,1,0.0189018232966203,0.2095871559975927,0.0603050528038977,0.6157015057685191,0.0020264069162603
0,0,0.0137934171559917,0.1815348082179602,0.0565396852384783,0.5419362210715084,0.0017165954902165
1,1,0.0169593575772398,0.1938387859314324,0.0655359803047584,0.6060118626307799,0.0017165954902165
0,0,0.0099625824288975,0.1331049334816582,0.0553279421688773,0.5732846488662664,0.001563877751699
1,1,0.0135294215332113,0.1732114092296128,0.0613476978057827,0.6151755461168863,0.001563877751699
0,0,0.0086259229607714,0.1223595649505185,0.0546934074343869,0.4518440491754612,0.0016437798124614
1,1,0.0118381747278256,0.1528681263410221,0.0625760533942414,0.5595633683931773,0.0016437798124614
0,0,0.0077633241668916,0.1192234215290539,0.0546301821995401,0.4355894182601392,0.0015560752149232
1,1,0.0099547574191922,0.1571997972861837,0.0578885236618621,0.4921215161551499,0.0015560752149232
0,0,0.0083064979285504,0.098467357354911,0.0561965115594382,0.4507739767476537,0.0014298604655529
1,1,0.0097493797904104,0.1321219708619135,0.0548152776082962,0.5607425956806258,0.0014298604655529
0,0,0.0076823492577129,0.1119477760998381,0.0546892501980917,0.4366641998826661,0.001489849195621
