,Gas,Model_name,CV_r2,CV_mse,test_r2_total_model,test_mse_by_total_model,test_r2_separa_model,test_mse_separa_model,best_param
0,CO2,GBR_separate,0.8838028824735348,1.811578323708673,-1,-1,0.9248339854120105,0.9451247308983474,"{'learning_rate': 0.5, 'n_estimators': 200}"
1,CO2,ETR_separate,0.9053864645001303,1.5343162867826423,-1,-1,0.931367313072428,0.7690661252041933,{'n_estimators': 200}
2,CO2,LGBM_separate,0.8907547396029957,1.8124385383461832,-1,-1,0.9189573239545538,0.9626138374860844,"{'learning_rate': 0.5, 'n_estimators': 200, 'num_leaves': 30}"
3,CO2,BGLGBM_separate,0.9051166180408836,1.5762532675494207,-1,-1,0.9347774541363293,0.7470862614265695,{'n_estimators': 30}
4,CFCs,GBR_separate,0.6669879829645968,5.0027064868530635,-1,-1,0.5123152033916896,7.953656830081623,"{'learning_rate': 0.1, 'n_estimators': 200}"
5,CFCs,ETR_separate,0.7980287173796577,3.59462840475582,-1,-1,0.5934985042971862,3.9372850347419055,{'n_estimators': 180}
6,CFCs,LGBM_separate,0.6879939696386907,4.785089327856783,-1,-1,0.5877971415803832,6.8801059364603265,"{'learning_rate': 0.5, 'n_estimators': 200, 'num_leaves': 20}"
7,CFCs,BGLGBM_separate,0.7450835923983632,4.256892610317929,-1,-1,0.5272523852938771,7.4116613321938924,{'n_estimators': 50}
8,Methane,GBR_separate,0.8687254107372974,1.211470777030152,-1,-1,0.7479896275103786,2.4491189457785887,"{'learning_rate': 0.5, 'n_estimators': 200}"
9,Methane,ETR_separate,0.8624301467723816,1.248474654677762,-1,-1,0.7123001306351827,2.6184794534287428,{'n_estimators': 180}
10,Methane,LGBM_separate,0.8617175322371129,1.2443691714460776,-1,-1,0.7414237649077129,2.477630156908508,"{'learning_rate': 0.1, 'n_estimators': 200, 'num_leaves': 30}"
11,Methane,BGLGBM_separate,0.8663392072584564,1.1993939463719552,-1,-1,0.7275651271485204,2.5269681211090895,{'n_estimators': 50}
12,E&E,GBR_separate,0.7944501074512343,1.2425336096305426,-1,-1,0.7667144995795843,1.729981830104811,"{'learning_rate': 0.5, 'n_estimators': 200}"
13,E&E,ETR_separate,0.807978659729282,1.094422143767826,-1,-1,0.7278097249450011,1.839618737410622,{'n_estimators': 180}
14,E&E,LGBM_separate,0.7664949001250827,1.3350042139545795,-1,-1,0.7966985638541275,1.3215519279906187,"{'learning_rate': 0.1, 'n_estimators': 200, 'num_leaves': 30}"
15,E&E,BGLGBM_separate,0.8050775119516494,1.1191149816296424,-1,-1,0.7879084569039154,1.341582105562947,{'n_estimators': 50}
