,Unnamed: 0,CV_r2,CV_mse,test_r2_separa_model,test_mse_separa_model
0,0,0.1793462633029718,2.1288767124177665,0.4614049831779227,3.527662025109324
1,1,0.2624735168545344,2.970605446073197,0.2171234516792783,2.5209996131363828
2,2,0.2377884268960513,2.7116285448688333,0.3035240237274025,2.9941672332631915
3,3,0.2020323598521882,2.119034878945277,0.4973572281070395,3.487776786874863
0,0,0.0669303576151237,1.2529757261203167,0.1807164562675637,1.6338339125309094
1,1,0.0965578016713199,1.923930542046332,0.217133932529249,1.9979117665971
2,2,0.08182924795409,1.372181327458441,0.2463537232988493,2.0629015987146317
3,3,0.076595895300029,1.4646786333622512,0.1990714566750469,1.6572406828009807
0,0,0.0603762927786302,0.9462811896933498,0.2062438673858135,1.937935123422783
1,1,0.0753424733847749,0.927335747086856,0.1393281247213655,1.5578522497070493
2,2,0.0630615969460856,0.9198958075349896,0.1766936768715776,1.8764961944413612
3,3,0.0680568632080009,1.0751251853031862,0.1412564624639888,1.397385411636412
0,0,0.0489889553181326,0.645632004773196,0.2358181881819223,2.403329077399606
1,1,0.0511205980478127,0.8287861969991777,0.2416356808370716,2.674777471647708
2,2,0.0472990604472921,0.6900000295975652,0.2490151926973368,2.563300878643277
3,3,0.0443172376640255,0.6396782280002613,0.2314915886978539,2.2783365467996184
0,0,0.0320427226800142,0.5503827207135725,0.2053683646975721,2.00457881824421
1,1,0.0392472708754258,0.6053944294950476,0.2267605127922118,2.408564137982261
2,2,0.0329818475914176,0.5071410276806706,0.2049823185465475,2.115761286286112
3,3,0.0418740697847274,0.6599954967223379,0.2761553838817112,2.4906329829460616
0,0,0.0324586392083161,0.4968415912388679,0.1437711766870278,1.4838966824986504
1,1,0.044255037636463,0.5488646527914482,0.1592453854781937,1.9721139666748837
2,2,0.0377688144047408,0.4890513434645119,0.1693939161971457,1.9071978277778063
3,3,0.035772497015991,0.4360835716233719,0.1766376293764684,1.7138042452135134
0,0,0.0430098260598185,0.5366028755051124,0.1779932077536262,1.76278245999059
1,1,0.0414216416669127,0.5828323465867912,0.1228678139689179,1.3477281585551386
2,2,0.0317659589108836,0.4339668622110195,0.176602267363242,1.8148632032404797
3,3,0.0448626658392026,0.5636163459279601,0.132126880305583,1.457267076435881
0,0,0.0415199255830074,0.6013718110182292,0.1871686847993416,1.9591988549089283
1,1,0.0574977819783317,0.6909835062882608,0.2476074165821049,2.3870970530699207
2,2,0.0464335439806687,0.599702901403871,0.1590454874627305,1.7238351967917078
3,3,0.0464684596587358,0.5666671645505023,0.2165301699343557,2.103274364588355
0,0,0.0332789490979842,0.3593866378658931,0.1461382627547252,1.7885503480714595
1,1,0.0401269536612017,0.3773997036098245,0.1214502886205183,1.822758038650464
2,2,0.0320092617375572,0.3105573346873032,0.1111085763996816,1.582253646344258
3,3,0.0311622997830952,0.2955294619881305,0.147120641847648,1.9795576158487795
0,0,0.0311847322233801,0.4268725208741282,0.1261800625910502,1.487892445397652
1,1,0.0331727212542782,0.4642356560708326,0.0917491780299781,1.2236803703749268
2,2,0.0301065118411793,0.4286510561945679,0.110743289247001,1.4549410495209718
3,3,0.0330797988702852,0.4615326117562295,0.1460171623774304,1.6985848715322374
0,0,0.019473821038505,0.341576701492049,0.1252497918937288,0.7879449643379683
1,1,0.0170274556159169,0.2812970773257036,0.0970267563631683,0.7221908888088794
