,Unnamed: 0,CV_r2,CV_mse,test_r2_separa_model,test_mse_separa_model,kpg_pca_mse
0,0,0.0958550204179783,1.4816981943123029,0.2098161599899958,1.508762938563931,0.0050866419119689
1,1,0.1278330957796896,1.574639683550589,0.2813980699194193,2.535695307784873,0.0050866419119689
2,2,0.1021078970925322,1.512233146443194,0.253254642768433,1.9633663491997224,0.0050866419119689
0,0,0.0586325207543467,0.867791468180083,0.181656641940047,1.2811494705614448,0.0034984502213331
1,1,0.0702862982940393,0.8263765546414418,0.1861709402029736,1.557394439091302,0.0034984502213331
2,2,0.0646767062148017,0.8581416911014936,0.187307435600955,1.5595852604260434,0.0034984502213331
0,0,0.05016621794385,0.5866635438685412,0.1415573287644635,1.1379902589689592,0.0034203793804174
1,1,0.0608613027431969,0.6563025019723575,0.1770987036145618,1.494301031665592,0.0034203793804174
2,2,0.0510729791924768,0.5606573027997019,0.1160301793487216,1.1127067700896756,0.0034203793804174
0,0,0.0357302876306037,0.4533889554415787,0.133273053023254,1.0412508375283804,0.0022562913625755
1,1,0.0512070973935149,0.5716851490289664,0.1846037318083929,1.4147537102998362,0.0022562913625755
2,2,0.0393144708478346,0.4759317862870208,0.130798411370513,1.0858538223132574,0.0022562913625755
0,0,0.0283166414013629,0.3573230528560929,0.0595506343043213,0.4938130899741784,0.0024343622613964
1,1,0.0363216582395013,0.3717360744105089,0.0654610144876717,0.5620031667247528,0.0024343622613964
2,2,0.0313601528088388,0.360277525502983,0.0654350076633877,0.5329182876684622,0.0024343622613964
0,0,0.0296077348968624,0.315578367432401,0.0646653210471349,0.5386255086401264,0.0020848259132489
1,1,0.0320765244511341,0.331287053998378,0.0739341212310669,0.5555151384614243,0.0020848259132489
2,2,0.0287581136679639,0.3090463930145217,0.0728454188490917,0.5566541808875743,0.0020848259132489
0,0,0.0251871662556547,0.2735477733093158,0.0609687534784345,0.5003991522412179,0.0017482438346966
1,1,0.0297851991868931,0.3059834066440572,0.0696872623196196,0.6313519048566092,0.0017482438346966
2,2,0.0251814076989892,0.2536563858865136,0.0633606677169628,0.4934274415201231,0.0017482438346966
0,0,0.023009654929872,0.2775399694035154,0.0565370616364537,0.4638575016584642,0.001765199150462
1,1,0.0248263966923242,0.2773572591497121,0.0596317461001973,0.4800495261604628,0.001765199150462
2,2,0.0228527268741676,0.260098795818098,0.0566468880332281,0.4150856583313535,0.001765199150462
0,0,0.0164233805935595,0.1675466049345814,0.0530366096862613,0.4493796700344626,0.0014305900791927
1,1,0.0206795747783268,0.2067451055109504,0.0604975846646859,0.3968732692712097,0.0014305900791927
2,2,0.0169351983230403,0.1726667486354013,0.0551615747899228,0.4087712216556452,0.0014305900791927
0,0,0.012055817967155,0.1116665039035184,0.0607399091987908,0.4845238905213469,0.0016786491468455
1,1,0.0145348569408998,0.1220503971992549,0.0732872731133339,0.5212469959343473,0.0016786491468455
2,2,0.0110781953294572,0.0972863908989527,0.0593878019575845,0.4431584103128723,0.0016786491468455
0,0,0.0122444385944793,0.1369637234994653,0.0605782584278578,0.4717944473127496,0.0011481115925539
1,1,0.0151790341875417,0.1643983083239915,0.0660285693081373,0.5307019261966437,0.0011481115925539
2,2,0.01425345161734,0.1533902341851271,0.0658389176048827,0.472051237909337,0.0011481115925539
0,0,0.0079310007287924,0.0707633315802214,0.0637357366666849,0.4863627683564344,0.0010477705265025
1,1,0.0133490145583335,0.1175495998007082,0.0701144353208334,0.5209599514851323,0.0010477705265025
2,2,0.0096132324493617,0.0813498888376981,0.065579830472122,0.461279527287846,0.0010477705265025
0,0,0.011566991249711,0.1072970847806135,0.0640684237858431,0.4886033925405867,0.0007160138729181
1,1,0.0117634521928129,0.1004653788248634,0.0742281462639649,0.5614590550293755,0.0007160138729181
2,2,0.011886783260641,0.1094027589690009,0.0651884829018431,0.454487620085789,0.0007160138729181
0,0,0.0100907158267037,0.1381185380840782,0.0596820769811075,0.4327268085474449,0.0003477325731215
1,1,0.0099995113212327,0.1152202616163785,0.0646261038521014,0.3912218916606547,0.0003477325731215
2,2,0.0090312174871085,0.1137644619496443,0.0611603438395096,0.3967778760581534,0.0003477325731215
0,0,0.0069293594054776,0.0734781665247671,0.0599618843486304,0.4425318169769441,0.0001673542442826
1,1,0.0088679688569958,0.0805323930964971,0.0662323279775238,0.4219364989885347,0.0001673542442826
2,2,0.0071789172436356,0.0730142445428175,0.0607371590254216,0.416214134949742,0.0001673542442826
