,Unnamed: 0,CV_r2,CV_mse,test_r2_separa_model,test_mse_separa_model,kpg_pca_mse
0,0,0.766243978,1.956496442,0.749200128,1.885333255,0.041575863
1,1,0.711745185,2.383952297,0.733295633,2.296639844,0.041575863
2,2,0.746433124,2.109203314,0.745709086,2.050802634,0.041575863
0,0,0.796834076,1.812295466,0.779060874,1.677800964,0.041999786
1,1,0.760907483,2.117491145,0.772684374,2.022044378,0.041999786
2,2,0.787110657,1.895423637,0.778949371,1.823903305,0.041999786
0,0,0.820308836,1.689069637,0.803546984,1.519856563,0.040369371
1,1,0.777327276,2.069609872,0.792196572,1.831926001,0.040369371
2,2,0.805833277,1.810461497,0.803421251,1.631474246,0.040369371
0,0,0.830966767,1.595338017,0.824489901,1.386574031,0.038397975
1,1,0.792778404,1.946056401,0.80758546,1.731968529,0.038397975
2,2,0.819408783,1.697780045,0.817078118,1.539362363,0.038397975
0,0,0.844462778,1.493836426,0.838445153,1.306858374,0.03422364
1,1,0.809113403,1.824685734,0.809433982,1.688612941,0.03422364
2,2,0.835496071,1.572220839,0.824188191,1.470876433,0.03422364
0,0,0.850810081,1.429519373,0.844281271,1.270139595,0.036681027
1,1,0.819999996,1.707856932,0.822034969,1.569462368,0.036681027
2,2,0.842000576,1.506977661,0.836426471,1.388328249,0.036681027
0,0,0.856953211,1.362891863,0.848844711,1.234765522,0.036007848
1,1,0.83114523,1.604746136,0.829397355,1.481506519,0.036007848
2,2,0.852985218,1.401326232,0.842229139,1.32899865,0.036007848
0,0,0.859599503,1.338673794,0.848042125,1.230229572,0.035274722
1,1,0.834303106,1.566416004,0.8260361,1.497457316,0.035274722
2,2,0.855519056,1.368247005,0.846342376,1.287660542,0.035274722
0,0,0.862432199,1.313517853,0.856440314,1.191509736,0.031285864
1,1,0.839147724,1.526901212,0.841088811,1.436277892,0.031285864
2,2,0.860622445,1.326975577,0.857775894,1.222155754,0.031285864
0,0,0.868083643,1.269994486,0.861357779,1.145498695,0.033866195
1,1,0.846314218,1.467963794,0.840949737,1.398848335,0.033866195
2,2,0.866939079,1.275004284,0.860942203,1.186100695,0.033866195
0,0,0.871124111,1.237334454,0.866269737,1.116680284,0.033490116
1,1,0.850390118,1.421510034,0.848698741,1.352521637,0.033490116
2,2,0.871670335,1.224645881,0.867814336,1.145559273,0.033490116
0,0,0.874583236,1.214831619,0.868040948,1.101768059,0.033201375
1,1,0.858200119,1.36530511,0.850124466,1.346461657,0.033201375
2,2,0.876739788,1.189667069,0.870901104,1.115680109,0.033201375
0,0,0.877197414,1.199455096,0.87145954,1.069716631,0.030196535
1,1,0.866552832,1.293945522,0.862846204,1.231672667,0.030196535
2,2,0.883226154,1.135908364,0.877122716,1.06368018,0.030196535
0,0,0.878710692,1.186207339,0.873411511,1.055203341,0.032699009
1,1,0.866715966,1.297157326,0.868217699,1.203459114,0.032699009
2,2,0.883882435,1.13238633,0.881737451,1.02322272,0.032699009
0,0,0.882101449,1.153053061,0.872007604,1.064272906,0.032583452
1,1,0.870627072,1.260905695,0.86854851,1.198623219,0.032583452
2,2,0.888647126,1.08750761,0.879940732,1.035272565,0.032583452
0,0,0.885521516,1.120869371,0.876290891,1.037252189,0.032195386
1,1,0.876507511,1.20605712,0.871092593,1.170270038,0.032195386
2,2,0.8924157,1.051675291,0.885201757,0.996356639,0.032195386
0,0,0.885727044,1.118234723,0.878412239,1.015240476,0.029273423
1,1,0.876405663,1.20552121,0.871234441,1.153592797,0.029273423
2,2,0.892952719,1.045163971,0.888568645,0.966046898,0.029273423
0,0,0.88795307,1.099801614,0.879399648,1.004203556,0.031599419
1,1,0.878539964,1.191008327,0.880210437,1.085374283,0.031599419
2,2,0.895830052,1.021331648,0.891325109,0.933864731,0.031599419
0,0,0.889349931,1.084101433,0.880762437,0.9895219,0.031524006
1,1,0.880914621,1.162500237,0.882567465,1.034955665,0.031524006
2,2,0.898021801,0.996727361,0.894579005,0.902508987,0.031524006
0,0,0.891528492,1.063375758,0.880734942,0.994427315,0.031096725
1,1,0.883291022,1.140423587,0.88324301,1.048859365,0.031096725
2,2,0.900174714,0.977725756,0.894923504,0.897768464,0.031096725
0,0,0.891748179,1.06275905,0.883296365,0.976160618,0.028157815
1,1,0.885215789,1.122858031,0.88334304,1.037089819,0.028157815
2,2,0.900999681,0.970441108,0.896968688,0.875837164,0.028157815
0,0,0.893408573,1.045542004,0.884557255,0.962862809,0.030569778
1,1,0.885830154,1.11837488,0.889531238,0.974560312,0.030569778
2,2,0.902985206,0.950595504,0.897208425,0.87070601,0.030569778
0,0,0.895060931,1.029113384,0.885973379,0.950781101,0.030494378
1,1,0.889396254,1.084886131,0.885666053,1.022089735,0.030494378
2,2,0.905489357,0.926770419,0.898772106,0.858876353,0.030494378
0,0,0.895733721,1.023081677,0.886982533,0.936170599,0.030101757
1,1,0.89057542,1.073491622,0.889288139,0.977229515,0.030101757
2,2,0.90647324,0.918245116,0.899018146,0.849955206,0.030101757
0,0,0.897015742,1.01083255,0.891442388,0.917262,0.027579342
1,1,0.893426466,1.043848856,0.893451865,0.955053396,0.027579342
2,2,0.90841818,0.898116162,0.90275617,0.831498207,0.027579342
0,0,0.898986424,0.995925052,0.893769793,0.896900844,0.029868003
1,1,0.894152474,1.041343489,0.894424173,0.935459853,0.029868003
2,2,0.910023639,0.885328902,0.90522019,0.808971068,0.029868003
0,0,0.899561415,0.987523408,0.895524849,0.885600068,0.029644764
1,1,0.895375256,1.027743111,0.897666159,0.911252291,0.029644764
2,2,0.910540608,0.878813607,0.906209635,0.801999644,0.029644764
0,0,0.899990795,0.981967555,0.895286608,0.888670754,0.029436907
1,1,0.896908482,1.009989615,0.89886448,0.904166861,0.029436907
2,2,0.911716985,0.865955285,0.906101385,0.799808861,0.029436907
0,0,0.901655206,0.967615555,0.895336233,0.888043015,0.026911923
1,1,0.898285145,0.99909468,0.900839111,0.899709551,0.026911923
2,2,0.912839684,0.857081973,0.9060162,0.799784426,0.026911923
