,Gas,Model_name,CV_r2,CV_mse,test_r2_total_model,test_mse_by_total_model,test_r2_separa_model,test_mse_separa_model,best_param,kpg_pca_mse
0,CO2,GBR_separate,0.9340451,0.933542452,-1,-1,0.953645251,0.629442844,"{'learning_rate': 0.5, 'n_estimators': 200}",0.019443989
0,CO2,ETR_separate,0.936714265,0.894954565,-1,-1,0.943956076,0.763259846,{'n_estimators': 200},0.019443989
0,CO2,LGBM_separate,0.931042966,0.979196233,-1,-1,0.950055876,0.651008716,"{'learning_rate': 0.5, 'n_estimators': 200, 'num_leaves': 50}",0.019443989
1,CO2,GBR_separate,0.933879941,1.006591311,-1,-1,0.944197255,0.738228948,"{'learning_rate': 0.5, 'n_estimators': 200}",0.019948509
1,CO2,ETR_separate,0.937976431,0.944108756,-1,-1,0.94174222,0.803926275,{'n_estimators': 200},0.019948509
1,CO2,LGBM_separate,0.937300674,0.952376139,-1,-1,0.941434545,0.765778398,"{'learning_rate': 0.5, 'n_estimators': 200, 'num_leaves': 50}",0.019948509
0,CO2,GBR_separate,0.937029682,0.88367084,-1,-1,0.943745062,0.926473832,"{'learning_rate': 0.5, 'n_estimators': 200}",0.018906862
0,CO2,ETR_separate,0.941408579,0.791270905,-1,-1,0.941293028,0.918485501,{'n_estimators': 200},0.018906862
0,CO2,LGBM_separate,0.938256753,0.857852753,-1,-1,0.947572394,0.818758201,"{'learning_rate': 0.5, 'n_estimators': 200, 'num_leaves': 50}",0.018906862
1,CO2,GBR_separate,0.93436767,0.927876425,-1,-1,0.936376445,1.031671602,"{'learning_rate': 0.5, 'n_estimators': 200}",0.019608652
1,CO2,ETR_separate,0.939149643,0.846072369,-1,-1,0.93941311,0.933777164,{'n_estimators': 180},0.019608652
1,CO2,LGBM_separate,0.93786037,0.8726973,-1,-1,0.936150883,0.997861053,"{'learning_rate': 0.5, 'n_estimators': 200, 'num_leaves': 50}",0.019608652
0,CO2,GBR_separate,0.935926577,0.880090558,-1,-1,0.928952452,1.096867737,"{'learning_rate': 0.5, 'n_estimators': 200}",0.019921766
0,CO2,ETR_separate,0.938362377,0.847337219,-1,-1,0.947504529,0.768050093,{'n_estimators': 180},0.019921766
0,CO2,LGBM_separate,0.942768992,0.785237866,-1,-1,0.939382565,0.903541705,"{'learning_rate': 0.5, 'n_estimators': 200, 'num_leaves': 50}",0.019921766
1,CO2,GBR_separate,0.934960937,0.916835676,-1,-1,0.934393892,0.962219111,"{'learning_rate': 0.5, 'n_estimators': 200}",0.020878657
1,CO2,ETR_separate,0.930636632,0.978830867,-1,-1,0.94867414,0.75850237,{'n_estimators': 200},0.020878657
1,CO2,LGBM_separate,0.932282494,0.947228101,-1,-1,0.947088717,0.83813945,"{'learning_rate': 0.5, 'n_estimators': 200, 'num_leaves': 50}",0.020878657
0,CO2,GBR_separate,0.942305637,0.811814647,-1,-1,0.913229312,1.124587837,"{'learning_rate': 0.5, 'n_estimators': 200}",0.019065267
0,CO2,ETR_separate,0.940454636,0.839825881,-1,-1,0.93047583,0.929410424,{'n_estimators': 200},0.019065267
0,CO2,LGBM_separate,0.940447333,0.835778305,-1,-1,0.93242077,0.908738282,"{'learning_rate': 0.5, 'n_estimators': 200, 'num_leaves': 50}",0.019065267
1,CO2,GBR_separate,0.93821812,0.899869079,-1,-1,0.924237211,0.974105814,"{'learning_rate': 0.5, 'n_estimators': 200}",0.019985111
1,CO2,ETR_separate,0.939982206,0.859347351,-1,-1,0.931502079,0.928015878,{'n_estimators': 200},0.019985111
1,CO2,LGBM_separate,0.939098394,0.880351018,-1,-1,0.931118321,0.914204946,"{'learning_rate': 0.5, 'n_estimators': 200, 'num_leaves': 50}",0.019985111
0,CO2,GBR_separate,0.940374675,0.825403365,-1,-1,0.941085792,0.717070977,"{'learning_rate': 0.5, 'n_estimators': 200}",0.019097482
0,CO2,ETR_separate,0.941280934,0.812418917,-1,-1,0.935320236,0.763744178,{'n_estimators': 150},0.019097482
0,CO2,LGBM_separate,0.936072327,0.886888775,-1,-1,0.9512748,0.608252892,"{'learning_rate': 0.5, 'n_estimators': 200, 'num_leaves': 50}",0.019097482
1,CO2,GBR_separate,0.936447677,0.921904846,-1,-1,0.944577408,0.702902175,"{'learning_rate': 0.5, 'n_estimators': 200}",0.020021166
1,CO2,ETR_separate,0.942480618,0.833911251,-1,-1,0.937069344,0.741801925,{'n_estimators': 200},0.020021166
1,CO2,LGBM_separate,0.939182474,0.883314915,-1,-1,0.951438507,0.603666188,"{'learning_rate': 0.5, 'n_estimators': 200, 'num_leaves': 50}",0.020021166
0,CO2,GBR_separate,0.936309559,0.870467019,-1,-1,0.946698096,0.841147081,"{'learning_rate': 0.5, 'n_estimators': 200}",0.018943121
0,CO2,ETR_separate,0.943125223,0.769366372,-1,-1,0.942958324,0.884468692,{'n_estimators': 200},0.018943121
0,CO2,LGBM_separate,0.939660458,0.826334331,-1,-1,0.953136399,0.717219403,"{'learning_rate': 0.5, 'n_estimators': 200, 'num_leaves': 50}",0.018943121
1,CO2,GBR_separate,0.937074187,0.860141447,-1,-1,0.951913131,0.755162204,"{'learning_rate': 0.5, 'n_estimators': 200}",0.019655934
1,CO2,ETR_separate,0.940777822,0.807443274,-1,-1,0.943024876,0.887676996,{'n_estimators': 200},0.019655934
1,CO2,LGBM_separate,0.933243353,0.922612412,-1,-1,0.953433935,0.718350652,"{'learning_rate': 0.5, 'n_estimators': 200, 'num_leaves': 50}",0.019655934
0,CO2,GBR_separate,0.943087214,0.789182232,-1,-1,0.941524138,0.929729659,"{'learning_rate': 0.5, 'n_estimators': 200}",0.019116466
0,CO2,ETR_separate,0.943990376,0.7716631,-1,-1,0.938165173,0.95340518,{'n_estimators': 200},0.019116466
0,CO2,LGBM_separate,0.944659199,0.764114493,-1,-1,0.945196953,0.87447695,"{'learning_rate': 0.5, 'n_estimators': 200, 'num_leaves': 50}",0.019116466
