,index
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,1
8,1
9,1
10,1
11,1
12,1
13,1
14,1
15,2
16,2
17,2
18,2
19,2
20,2
21,2
22,2
23,3
24,3
25,3
26,3
27,3
28,3
29,3
30,3
31,4
32,4
33,4
34,4
35,4
36,4
37,4
38,4
39,5
40,5
41,5
42,5
43,5
44,5
45,5
46,5
47,6
48,6
49,6
50,6
51,6
52,6
53,6
54,6
55,6
56,7
57,7
58,7
59,7
60,7
61,7
62,7
63,7
64,8
65,8
66,8
67,8
68,8
69,8
70,8
71,8
72,9
73,9
74,9
75,9
76,9
77,9
78,9
79,9
80,9
81,10
82,10
83,10
84,10
85,10
86,10
87,10
88,10
89,10
90,10
91,11
92,11
93,11
94,11
95,11
96,11
97,11
98,11
99,11
100,12
101,12
102,12
103,12
104,12
105,12
106,12
107,12
108,12
109,13
110,13
111,13
112,13
113,13
114,13
115,13
116,13
117,13
118,14
119,14
120,14
121,14
122,14
123,14
124,14
125,14
126,14
127,15
128,15
129,15
130,15
131,15
132,15
133,15
134,15
135,15
136,16
137,16
138,16
139,16
140,16
141,16
142,16
143,16
144,17
145,17
146,17
147,17
148,17
149,17
150,17
151,17
152,17
153,18
154,18
155,18
156,18
157,18
158,18
159,18
160,18
161,18
162,19
163,19
164,19
165,19
166,19
167,19
168,19
169,19
170,20
171,20
172,20
173,20
174,20
175,20
176,20
177,20
178,21
179,21
180,21
181,21
182,21
183,21
184,21
185,21
186,22
187,22
188,22
189,22
190,22
191,22
192,22
193,22
194,22
195,23
196,23
197,23
198,23
199,23
200,23
201,23
202,23
203,23
204,23
205,24
206,24
207,24
208,24
209,24
210,24
211,24
212,24
213,24
214,24
215,25
216,25
217,25
218,25
219,25
220,25
221,25
222,25
223,25
224,26
225,26
226,26
227,26
228,26
229,26
230,26
231,26
232,26
233,26
234,27
235,27
236,27
237,27
238,27
239,27
240,27
241,27
242,28
243,28
244,28
245,28
246,28
247,28
248,29
249,29
250,29
251,29
252,29
253,29
254,29
255,29
256,30
257,30
258,30
259,30
260,30
261,30
262,30
263,31
264,31
265,31
266,31
267,31
268,31
269,31
270,31
271,32
272,32
273,32
274,32
275,32
276,32
277,33
278,33
279,33
280,33
281,33
282,33
283,33
284,33
285,33
286,34
287,34
288,34
289,34
290,34
291,34
292,34
293,34
294,34
295,34
296,35
297,35
298,35
299,35
300,35
301,35
302,35
303,35
304,35
305,36
306,36
307,36
308,36
309,36
310,36
311,36
312,36
313,36
314,37
315,37
316,37
317,37
318,37
319,37
320,37
321,37
322,37
323,37
324,38
325,38
326,38
327,38
328,38
329,38
330,38
331,38
332,39
333,39
334,39
335,39
336,39
337,39
338,39
339,39
340,40
341,40
342,40
343,40
344,40
345,40
346,40
347,40
348,41
349,41
350,41
351,41
352,41
353,41
354,41
355,41
356,41
357,42
358,42
359,42
360,42
361,42
362,42
363,42
364,43
365,43
366,43
367,43
368,43
369,43
370,43
371,44
372,44
373,44
374,44
375,44
376,44
377,44
378,44
379,44
380,45
381,45
382,45
383,45
384,45
385,45
386,45
387,46
388,46
389,46
390,46
391,46
392,46
393,46
394,46
395,46
396,46
397,47
398,47
399,47
400,47
401,47
402,47
403,47
404,48
405,48
406,48
407,48
408,48
409,48
410,48
411,48
412,48
413,48
414,49
415,49
416,49
417,49
418,49
419,49
420,49
421,49
422,49
423,50
424,50
425,50
426,50
427,50
428,50
429,50
430,50
431,50
432,50
433,51
434,51
435,51
436,51
437,51
438,51
439,51
440,51
441,51
442,51
443,52
444,52
445,52
446,52
447,52
448,52
449,52
450,52
451,52
452,53
453,54
454,54
455,54
456,54
457,54
458,54
459,54
460,54
461,54
462,54
463,54
464,55
465,55
466,55
467,55
468,55
469,55
470,55
471,55
472,55
473,55
474,55
475,55
476,56
477,56
478,56
479,56
480,56
481,56
482,56
483,56
484,56
485,56
486,56
487,57
488,57
489,57
490,57
491,57
492,57
493,57
494,57
495,57
496,57
497,58
498,58
499,58
500,58
501,58
502,58
503,58
504,58
505,58
506,58
507,58
508,59
509,59
510,59
511,59
512,59
513,59
514,59
515,59
516,59
517,59
518,60
519,60
520,60
521,60
522,60
523,60
524,60
525,60
526,61
527,61
528,61
529,61
530,61
531,61
532,61
