,group,r2,mse,
0,11,0.856425959,0.237023682,
1,12,0.427458481,0.507715626,
2,13,0.906198863,0.067592848,
3,14,0.155888408,0.435121162,
4,15,0.770065078,0.446292094,
5,16,0.442937676,0.604734403,
6,17,0.101702411,0.502140405,
7,18,-0.222463472,0.367265888,
8,19,0.829120278,0.264618181,
9,20,0.91098827,0.102994007,
10,21,0.641801266,0.349310108,
11,22,0.910844798,0.056155328,
12,23,0.900823552,0.079211694,
13,24,0.954616419,0.032128553,
14,25,0.858724109,0.076118398,
15,26,0.992281534,0.002867059,
16,27,0.947093731,0.045506188,
17,28,0.989047993,0.006949202,
18,29,0.943127439,0.032251852,
19,30,0.90480101,0.033020275,
20,32,-0.323896698,3.592766384,
21,33,0.73061792,0.962551326,
22,34,0.940426227,0.301584672,
23,35,0.929473886,0.369000325,
24,36,0.465862291,2.544832997,
25,37,-0.417838366,7.013682477,
26,38,0.806496602,12.68819398,
27,39,0.815033453,6.912973239,
28,40,-4100270.785,0.032218935,
29,41,-25916761.49,0.142902412,
30,42,-11770381.58,0.041755601,
31,43,-9377485.977,0.023847885,
32,44,-7880641.832,0.013336694,
33,45,-342.8734752,1.87E-05,
34,46,-29166.88672,0.000990653,
35,47,-1993.511669,5.22E-05,
36,48,-1634.340935,2.30E-05,
37,49,-3074.350109,2.57E-05,
38,51,0.767328425,0.02145658,
39,52,0.921266987,0.022781685,
40,53,0.907518456,0.046057405,
41,54,0.64829165,0.109086382,
42,55,0.440638043,0.01538368,
43,56,-0.898796542,0.311902191,
44,57,0.916738451,0.021433221,
45,58,0.99609419,0.001442928,
46,59,0.946627276,0.015529568,
47,60,0.601181728,7.338028921,
48,61,0.761121827,4.183810943,
49,62,0.768643992,2.248523999,
50,63,0.90681964,0.746581519,
51,64,0.98977107,0.176234428,
52,65,0.821189642,2.482483418,
53,66,0.949722867,0.347291584,
54,67,0.99584379,0.029174664,
55,68,0.915787596,1.216574193,
56,69,0.877130357,0.92874722,
57,70,0.839023813,1.005911285,
58,71,0.923516019,0.430397162,
59,72,0.661543369,1.033861383,
60,73,0.93123747,0.367400694,
61,74,0.832607362,0.123058176,
62,75,0.648243167,0.241528311,
63,76,0.635058205,1.837989493,
64,77,0.59311337,1.595140931,
65,78,0.776456393,0.242557207,
66,79,0.750411064,0.285226178,
67,80,0.030496434,2.732611553,
68,81,0.910388421,0.292460471,
69,82,0.67435844,0.40314338,
70,83,0.455400391,0.481850201,
71,84,0.415549779,3.142138407,
72,85,0.512617385,2.747847601,
73,86,0.820995263,0.350514051,
74,87,0.94744622,0.079884714,
75,88,0.94634152,0.365113747,
76,89,0.849121878,0.80089641,
77,90,0.784820091,0.335752598,
78,91,0.981461261,0.027500042,
79,92,0.796182862,0.947596268,
80,93,0.782360137,0.79280837,
81,94,0.913699777,0.126461819,
82,95,0.93946085,0.10992695,
83,96,0.659059728,6.073740419,
84,97,0.948132277,1.186001428,
85,98,0.855701881,1.807844441,
86,99,0.775817581,2.847156201,
87,100,0.949003967,0.599055876,
88,101,0.85777663,1.514063093,
89,102,0.062179653,30.51543998,del
90,103,0.773517282,5.700714519,
91,104,0.131816853,11.87472843,
92,105,0.947727549,1.003625047,
93,106,0.876688046,1.500763262,
94,107,0.312212886,4.60669793,
95,108,0.822129079,1.879737659,
96,109,0.935286111,0.458634392,
97,110,0.478682872,1.999763372,
98,111,0.90762036,0.596756416,
99,112,0.982901071,0.067061277,
100,113,0.804335295,0.460179026,
101,114,0.879732856,0.603640044,
102,115,0.637092218,0.962710733,
103,116,0.621003864,0.594217579,
104,117,0.235701799,117.6791033,del
105,118,0.601997821,58.31538593,
106,119,0.904528325,7.487557979,
107,120,0.976430265,1.100536417,
108,121,0.379296335,12.74327263,
109,122,0.396066896,11.39278986,
110,123,-0.251426559,0.136935037,
111,124,0.558661651,0.039600066,
112,125,-0.451062919,0.258616753,
113,126,0.179646813,0.136546666,
114,127,-0.156892159,0.134568374,
115,128,-1.481557498,0.165415454,
116,129,-3.087540466,0.163762408,
117,130,0.857283283,3.897230888,
118,131,0.991986087,0.22795569,
119,132,0.982091852,0.354460783,
120,133,0.911659167,1.173287522,
121,134,0.983526247,0.170503436,
122,135,0.70116347,2.300303519,
123,136,0.648218874,25.36556489,
124,137,0.004357683,27.26146336,
125,138,0.850167291,5.807940092,
126,139,0.616037078,6.829595525,
127,140,0.813257215,4.169442261,
128,141,0.924913099,1.211581675,
