,group,r2,mse,
0,0,-61.1302086,0.136518949,
1,1,-34.5090214,0.288761561,
2,2,0.294095855,0.097698704,
3,3,0.875249453,0.648420647,
4,4,0.961616574,0.12496166,
5,5,0.528431435,1.158026837,
6,6,0.953764134,0.117868178,
7,7,0.753935133,0.150984162,
8,8,-1.153999376,2.206992958,
9,9,0.631624468,0.352230869,
10,10,0.501658995,0.311801823,
11,11,0.861632978,0.259816603,
12,12,0.27711393,1.477111043,
13,13,0.952090993,0.079958056,
14,14,0.709015842,0.341716805,
15,15,0.92028016,1.22642164,
16,16,0.926852255,0.780805801,
17,17,0.939408073,0.54281239,
18,18,0.859685059,0.374452962,
19,19,0.631116698,0.761142178,
20,20,0.977560934,0.060554791,
21,21,-2.127299256,3.189219872,
22,22,-2.953592495,3.347506967,
23,23,-4.681478223,4.122598927,
24,24,-3.771066815,2.606732126,
25,25,-5.137500253,2.816419337,
26,26,-2.088971286,1.354640233,
27,27,-13.75449909,10.46621334,
28,28,-20.4070996,7.177447747,
29,29,-16.75993022,7.736308707,
30,30,-14.32201022,4.936311182,
31,31,-14.36393797,4.858114788,
32,32,-16.24084191,2.571300818,
33,33,0.911568306,0.704977291,
34,34,0.989022146,0.086483087,
35,35,0.98744728,0.000503098,
36,36,0.95872138,0.001120167,
37,37,0.927874247,0.00119835,
38,38,0.98772604,0.000531175,
39,39,0.475900182,0.008620803,
40,40,0.572276929,0.005492826,
41,41,0.965383952,0.005630247,
42,42,0.567377342,0.051093577,
43,43,0.880188928,0.0108858,
44,44,-6.386519801,0.325464904,
45,59,0.998605368,0.007679569,
46,60,0.996301261,0.019154595,
47,61,0.998270215,0.006959933,
48,62,0.999015549,0.007493603,
49,63,0.995457838,0.0279548,
50,64,0.997871635,0.012127529,
51,65,-0.895173416,9.001217179,
52,66,-0.064256562,3.209772847,
53,67,-0.213221916,2.66700299,
54,68,-0.410094061,1.552694719,
55,69,0.994780086,0.075903169,
56,70,0.989722006,0.126256953,
57,71,0.98038553,0.203251542,
58,72,0.986364155,0.118609126,
59,73,0.995342946,0.03033109,
60,74,0.943095974,0.357886806,
61,75,0.993555707,0.03397306,
62,76,0.957685323,0.19114039,
63,77,0.936612619,0.371843746,
64,78,0.983713845,0.084642482,
65,79,0.759285093,1.062868563,
66,80,0.878144765,0.468498201,
67,81,0.881958141,0.382476083,
68,82,0.969718748,0.08634149,
69,83,0.959811114,0.098362692,
70,84,0.977391887,0.046800339,
71,85,0.886762395,0.653628705,
72,86,0.554964457,2.028234651,
73,87,0.71407627,0.939658334,
74,88,0.84343116,0.414181798,
75,89,-0.548805016,3.110826502,
76,90,-2.071576901,3.287595975,
77,91,0.95752315,0.245161208,
78,92,0.736503178,1.081064467,
79,93,0.134840954,2.832745433,
80,94,0.700898113,0.315218612,
81,95,0.935524618,0.102415251,
82,96,0.784333476,0.240286871,
83,97,0.939149105,0.05006346,
84,98,0.895605391,0.419940981,
85,99,0.156972672,2.197992074,
86,100,-0.301680658,2.037416435,
87,101,0.805043617,0.545501432,
88,102,0.905189879,0.43382996,
89,103,0.506023272,1.126595992,
90,104,0.825035804,0.47987331,
91,105,0.838884071,1.473390128,
92,106,0.913032383,0.768635321,
93,107,0.954257703,0.382414616,
94,108,0.956028875,0.33950284,
95,109,0.986087064,0.258641848,
96,110,0.822109216,2.28823439,
97,111,0.419588644,7.657939013,
98,112,0.178068062,3.617849439,
99,113,-1.868935746,6.610959535,
100,114,-0.771920379,2.901767355,
101,115,0.90026497,0.074371083,
102,116,0.915665272,0.078802847,
103,117,-0.851838432,1.265472269,
104,118,0.259390831,0.266109106,
105,119,0.984785793,0.032703143,
106,120,0.703563956,0.222803224,
107,121,0.021421945,0.144187869,
108,122,0.940026606,0.087578001,
109,123,0.822543089,0.231471787,
110,124,0.754048854,2.316782748,
111,125,0.637006598,1.312805289,
112,126,0.430563611,1.457233999,
113,127,0.8328944,2.43090414,
114,128,0.825758601,2.441100503,
115,129,0.978506824,0.147355292,
116,130,0.659663967,0.055338303,
117,131,0.701131269,0.022493724,
118,132,0.513285768,0.021884869,
119,133,0.440071133,5.339864496,
120,134,0.790377962,1.078437436,
121,135,0.837132727,0.560867863,
122,136,0.963976271,0.090509259,
123,137,0.818869774,0.352744539,
124,138,0.879688724,0.248973901,
125,139,0.929537806,0.168593453,
126,140,0.98974184,0.022182454,
127,141,0.775763175,0.461837587,
128,142,0.962995681,0.067592973,
129,143,0.97495028,0.037100076,
130,144,0.883032079,1.040029511,
131,145,0.955076802,0.210900684,
132,146,0.723308838,0.623620991,
133,147,0.844546001,1.544465494,
134,148,0.967401334,0.308529763,
