,group,r2,mse
0,20,,0.698015048
1,21,,0.863631494
2,22,,0.745002202
3,23,,0.494595965
4,24,,0.21519733
5,25,,0.066722933
6,32,,0.195866314
7,33,,1.95E-05
8,34,,0.000499437
9,35,,0.000265681
10,36,,0.000275273
11,37,,0.000660195
12,38,,0.00103334
13,39,,0.001346117
14,58,,0.000730486
15,59,,0.007507427
16,60,,2.53E-05
17,61,,0.045356114
18,62,,0.001283411
19,63,,0.000310911
20,90,,0.00668516
21,91,,0.168835779
22,92,,0.011815798
23,93,,0.091830581
24,94,,0.163689303
25,95,,0.008210519
26,96,,0.015821604
27,97,,0.004392445
28,98,,0.200983085
29,99,,0.280226526
30,100,,0.68553891
31,101,,0.408323095
32,102,,1.89124162
33,103,,0.068532462
34,104,,0.804623029
35,105,,0.223665421
36,106,,0.079670591
37,107,,0.308361257
38,108,,0.203534912
39,109,,0.144059894
40,110,,0.099856168
41,111,,0.840116141
42,112,,0.626486704
43,113,,0.045805925
44,114,,0.004462826
45,115,,0.00095834
46,116,,0.487999774
47,117,,0.324749262
48,118,,0.03454863
49,119,,0.030143702
50,120,,0.072975404
51,121,,0.090476694
52,122,,0.09833482
53,123,,0.358458704
54,124,,0.674435599
55,125,,0.107777241
56,126,,0.038010323
57,127,,0.001625546
58,128,,0.453150391
59,132,,0.595931415
60,133,,0.115193441
61,134,,0.009033015
62,135,,0.005947121
63,136,,8.20E-05
64,143,,0.747700876
65,144,,2.009638318
66,145,,3.192501724
67,146,,0.031581824
68,147,,0.028856359
69,148,,0.29288229
70,149,,1.057783517
71,150,,2.552931768
72,151,,0.038314841
73,152,,0.034440161
74,153,,0.33994774
75,162,,0.004712529
76,163,,0.003264847
77,164,,0.082754458
78,165,,0.394564567
79,166,,0.003762109
80,167,,0.055254011
81,168,,0.21160958
82,169,,0.081489396
83,170,,0.04306981
84,171,,0.127553238
85,172,,0.381886835
86,174,,0.231919158
87,188,,1.599859878
88,189,,0.502088071
89,190,,0.012041175
90,191,,0.001813932
91,192,,2.46E-05
92,193,,0.001583047
93,194,,0.000673719
94,195,,0.002797218
95,196,,0.004820129
96,202,,0.321724067
97,203,,0.022168911
98,204,,0.00809965
99,205,,0.030464571
100,206,,0.010070743
101,207,,0.023011808
102,208,,0.021216246
103,209,,0.000459214
104,210,,0.004739914
105,223,,0.195506385
106,224,,0.050939856
107,225,,0.068774448
108,226,,0.002675505
109,227,,0.123227556
110,228,,25.09060215
111,229,,0.022034195
112,230,,3.02E-06
113,231,,0.020705998
114,232,,0.055927572
115,233,,0.062800783
116,234,,0.017868131
117,235,,0.057152623
118,236,,0.005840534
119,237,,0.062513203
120,238,,8.66E-06
121,239,,0.110653594
122,240,,0.006923011
123,241,,0.016736304
124,242,,0.000240784
125,243,,0.000166392
126,244,,0.000508741
127,245,,4.98E-06
128,246,,0.004130333
129,247,,0.17135403
130,248,,0.301232663
131,249,,6.87E-05
132,250,,0.244678559
133,251,,0.691825524
134,252,,0.00010118
135,253,,0.037071118
136,254,,0.062810985
137,255,,0.004216866
138,256,,0.042916864
139,257,,0.001276371
140,258,,0.003991481
141,259,,0.015873328
142,260,,0.000605337
143,261,,4.54E-05
144,262,,0.001219287
145,263,,0.002841071
146,264,,2.4929883
147,265,,0.647698542
148,266,,0.024914268
149,272,,8.19E-05
150,273,,0.918787188
151,274,,1.032839094
152,275,,0.534832361
153,276,,0.012255617
154,277,,0.270662609
155,278,,0.024279868
156,279,,0.049617549
157,280,,0.024705214
158,281,,0.004778982
159,282,,0.130414491
160,283,,0.014413911
161,284,,0.005569668
162,285,,0.015656832
163,286,,0.055841007
164,287,,0.004673456
165,288,,0.005388303
166,289,,0.000158731
167,290,,0.001064116
168,291,,3.08E-05
169,292,,0.005195336
170,293,,0.000158503
171,294,,0.000552225
172,295,,1.96E-05
173,296,,0.000219954
174,297,,0.000566687
