,group,r2,mse
0,20,,0.790382437
1,21,,0.935409611
2,22,,0.934848998
3,23,,0.450937698
4,24,,0.216787363
5,25,,0.064231079
6,32,,0.238910327
7,33,,5.94E-06
8,34,,0.000304285
9,35,,0.000840642
10,36,,0.000363462
11,37,,0.000706174
12,38,,0.000471595
13,39,,0.001131273
14,58,,0.000600603
15,59,,0.003624684
16,60,,9.15E-05
17,61,,0.02980376
18,62,,0.000848796
19,63,,7.38E-05
20,90,,0.002179564
21,91,,0.158928243
22,92,,0.011472172
23,93,,0.127549073
24,94,,0.158520663
25,95,,0.001892218
26,96,,0.022915651
27,97,,0.001294108
28,98,,0.133934022
29,99,,0.355975762
30,100,,0.737581056
31,101,,0.454196175
32,102,,1.406427791
33,103,,0.046110876
34,104,,0.591640374
35,105,,0.305821257
36,106,,0.065756447
37,107,,0.260272757
38,108,,0.185845589
39,109,,0.054185615
40,110,,0.041883799
41,111,,0.955291943
42,112,,0.50391853
43,113,,0.05155691
44,114,,0.004211417
45,115,,0.001388662
46,116,,0.488858722
47,117,,0.296857521
48,118,,0.039631279
49,119,,0.030738815
50,120,,0.013491399
51,121,,0.120108066
52,122,,0.096000958
53,123,,0.407325094
54,124,,0.67189124
55,125,,0.13494386
56,126,,0.03065559
57,127,,0.004583447
58,128,,0.340878525
59,132,,0.528964786
60,133,,0.122987317
61,134,,0.00408348
62,135,,0.003958197
63,136,,0.000192194
64,143,,0.929164208
65,146,,0.040451223
66,147,,0.019193571
67,148,,0.255344312
68,149,,1.190774089
69,151,,0.035119407
70,152,,0.068591489
71,153,,0.319804313
72,162,,0.000442334
73,163,,0.001685713
74,164,,0.06441054
75,165,,0.208753981
76,166,,0.000237354
77,167,,0.046362642
78,168,,0.144693748
79,169,,0.09590087
80,170,,0.021308266
81,171,,0.108486802
82,172,,0.333729173
83,174,,0.176354714
84,188,,1.846955218
85,189,,0.16428219
86,190,,0.00513748
87,191,,0.002500264
88,192,,6.77E-05
89,193,,0.001578075
90,194,,6.52E-05
91,195,,0.002653423
92,196,,0.004213128
93,202,,0.306902048
94,203,,0.040228146
95,204,,0.006346271
96,205,,0.021372175
97,206,,0.01049976
98,207,,0.016888743
99,208,,0.017280134
100,209,,0.000259306
101,210,,0.007178991
102,223,,0.218799498
