,Gas,Model_name,CV_r2,CV_mse,test_r2_total_model,test_mse_by_total_model,test_r2_separa_model,test_mse_separa_model,best_param,test_mse_separa_model,test_mse_separa_model,test_mse_separa_model,test_mse_separa_model,test_mse_separa_model,test_mse_separa_model,test_mse_separa_model,test_mse_separa_model,test_mse_separa_model,,
0,CO2,DT_total,0.882303021,1.631152964,0.8425834,1.566034662,0.838949033,1.471930169,{'criterion': 'friedman_mse'},1.461445565,1.220642767,1.795602845,1.580596075,1.649249032,1.483728366,1.600740025,1.824649368,1.111874823,1.52,0.23
1,CFCs,DT_total,0.882303021,1.631152964,0.8425834,1.566034662,0.896581822,1.856013766,{'criterion': 'friedman_mse'},2.48115349,4.474068062,2.770956762,2.404119642,3.918329064,1.867696067,13.21444017,2.309644365,5.974854123,4.13,3.45
2,Methane,DT_total,0.882303021,1.631152964,0.8425834,1.566034662,0.83294104,1.835394871,{'criterion': 'friedman_mse'},2.041556786,1.698904972,1.523869915,1.792152999,1.866614877,1.793016465,1.814217306,1.572283175,1.252424949,1.72,0.22
3,E&E,DT_total,0.882303021,1.631152964,0.8425834,1.566034662,0.798652402,1.410253427,{'criterion': 'friedman_mse'},1.177311087,0.96919954,1.323242892,1.287889739,1.161791593,1.258242606,1.346795814,1.11861629,1.020237615,1.21,0.14
4,CO2,GBR_total,0.924029243,1.059977898,0.902816664,0.960351766,0.90884358,0.816479153,"{'learning_rate': 0.5, 'n_estimators': 200}",0.714420882,0.680976637,0.88971208,1.003798515,0.981158398,0.845884837,0.896540474,1.012661814,0.726806296,0.86,0.12
5,CFCs,GBR_total,0.924029243,1.059977898,0.902816664,0.960351766,0.938186609,1.069862369,"{'learning_rate': 0.5, 'n_estimators': 200}",1.976631902,3.077178493,1.413919167,0.648030922,0.922912895,1.242108894,1.811046341,2.444806652,1.954564283,1.66,0.74
6,Methane,GBR_total,0.924029243,1.059977898,0.902816664,0.960351766,0.882349587,1.371119619,"{'learning_rate': 0.5, 'n_estimators': 200}",1.324815155,1.140354823,1.203629661,1.032666699,2.169172339,1.696193237,1.354488483,1.085964068,0.852685362,1.32,0.38
7,E&E,GBR_total,0.924029243,1.059977898,0.902816664,0.960351766,0.864839744,0.85102563,"{'learning_rate': 0.5, 'n_estimators': 200}",0.855207883,0.621564044,0.66419034,1.031323069,0.658707078,0.747594662,0.59316327,0.786745695,0.693138493,0.75,0.13
8,CO2,BG_total,0.933818609,0.919753453,0.89691632,0.977916973,0.894036718,0.914825335,{'n_estimators': 100},0.841545609,0.739486963,0.984887113,0.862687141,1.022105548,0.847431917,0.90246336,1.116493301,0.619688583,0.89,0.14
9,CFCs,BG_total,0.933818609,0.919753453,0.89691632,0.977916973,0.924693805,1.288819047,{'n_estimators': 100},2.234718718,2.502538269,2.266341184,1.460952683,3.53983833,1.18656498,2.407203692,1.502994344,5.282981333,2.37,1.25
10,Methane,BG_total,0.933818609,0.919753453,0.89691632,0.977916973,0.896255101,1.106027084,{'n_estimators': 100},1.223549991,0.836148979,1.040750514,0.909215,1.084212545,0.954434455,1.109962996,0.840281164,0.707808288,0.98,0.16
11,E&E,BG_total,0.933818609,0.919753453,0.89691632,0.977916973,0.857413619,0.930892155,{'n_estimators': 100},0.858293367,0.68508583,0.681835955,0.806820272,0.680465606,0.674393032,0.769715348,0.888601829,0.644550853,0.76,0.10
12,CO2,ETR_total,0.94499836,0.76432576,0.908977824,0.852469905,0.91351122,0.74,{'n_estimators': 180},0.641403973,0.633406798,0.770994951,0.713780613,0.966210114,0.727400949,0.814991373,0.931179209,0.55778254,0.75,0.13
13,CFCs,ETR_total,0.94499836,0.76432576,0.908977824,0.852469905,0.937490014,1.06,{'n_estimators': 180},1.2951945,2.149545896,1.908782406,2.054665217,2.367505313,0.849543715,2.233184004,2.172676076,3.374197753,1.95,0.73
14,Methane,ETR_total,0.94499836,0.76432576,0.908977824,0.852469905,0.892787298,1.11,{'n_estimators': 180},1.181565503,0.818623687,1.000714177,0.856552015,0.968572709,0.782558458,0.951842814,0.646335037,0.60136392,0.89,0.19
15,E&E,ETR_total,0.94499836,0.76432576,0.908977824,0.852469905,0.870743449,0.83,{'n_estimators': 180},0.784920559,0.514119048,0.517358954,0.69242825,0.542284543,0.546302148,0.663692816,0.615511203,0.54887534,0.63,0.11
16,CO2,RF_total,0.934368688,0.912179268,0.896772591,0.982709172,0.89364064,0.923036192,{'n_estimators': 180},0.828227754,0.759308607,0.968347908,0.858069018,1.010978221,0.857265899,0.887699919,1.109706297,0.622041555,0.88,0.14
17,CFCs,RF_total,0.934368688,0.912179268,0.896772591,0.982709172,0.925840545,1.270677285,{'n_estimators': 180},2.170536695,2.370557659,2.27361505,1.374578627,3.440485839,1.192710172,2.451389879,1.588455957,5.349033425,2.35,1.26
18,Methane,RF_total,0.934368688,0.912179268,0.896772591,0.982709172,0.896464455,1.103973983,{'n_estimators': 180},1.225674221,0.824875317,1.045882714,0.912326564,1.085791951,0.942768864,1.096876736,0.817498939,0.700231843,0.98,0.16
19,E&E,RF_total,0.934368688,0.912179268,0.896772591,0.982709172,0.856584131,0.940358166,{'n_estimators': 180},0.858472708,0.675644738,0.684165615,0.807659022,0.686705724,0.663553313,0.780885416,0.868395389,0.641639696,0.76,0.10
20,CO2,LGBM_total,0.940995194,0.820172293,0.915216389,0.87213535,0.934604632,0.59,"{'learning_rate': 0.5, 'n_estimators': 200, 'num_leaves': 50}",0.513340648,0.497061459,0.779507143,0.698391927,0.865391821,0.707013934,0.766506142,0.885260092,0.571479277,0.69,0.14
