,Gas,Model_name,CV_r2,CV_mse,test_r2_total_model,test_mse_by_total_model,test_r2_separa_model,test_mse_separa_model,best_param
0,CO2,DT_total,0.8664071228202689,1.656787988638257,0.889202159136779,1.6995926255962317,0.8898187550687249,1.824649368032963,{'criterion': 'friedman_mse'}
1,CFCs,DT_total,0.8664071228202689,1.656787988638257,0.889202159136779,1.6995926255962317,0.8938331557788455,2.309644365499689,{'criterion': 'friedman_mse'}
2,Methane,DT_total,0.8664071228202689,1.656787988638257,0.889202159136779,1.6995926255962317,0.8875776838757826,1.572283175113245,{'criterion': 'friedman_mse'}
3,E&E,DT_total,0.8664071228202689,1.656787988638257,0.889202159136779,1.6995926255962317,0.8705576566053574,1.118616289850226,{'criterion': 'friedman_mse'}
4,CO2,GBR_total,0.9166320464010476,1.0369574860351478,0.9261397671467435,1.0601291687536687,0.9332470656062315,1.012661813835689,"{'learning_rate': 0.5, 'n_estimators': 200}"
5,CFCs,GBR_total,0.9166320464010476,1.0369574860351478,0.9261397671467435,1.0601291687536687,0.8824092197157114,2.444806652298775,"{'learning_rate': 0.5, 'n_estimators': 200}"
6,Methane,GBR_total,0.9166320464010476,1.0369574860351478,0.9261397671467435,1.0601291687536687,0.9215791228271077,1.0859640682874738,"{'learning_rate': 0.5, 'n_estimators': 200}"
7,E&E,GBR_total,0.9166320464010476,1.0369574860351478,0.9261397671467435,1.0601291687536687,0.8998970241217472,0.786745694801257,"{'learning_rate': 0.5, 'n_estimators': 200}"
8,CO2,BG_total,0.9201739967500998,0.9910023965594897,0.9276669387038834,1.039720039965037,0.928004558977593,1.1164933010669988,{'n_estimators': 100}
9,CFCs,BG_total,0.9201739967500998,0.9910023965594897,0.9276669387038834,1.039720039965037,0.925720120867795,1.5029943443960156,{'n_estimators': 100}
10,Methane,BG_total,0.9201739967500998,0.9910023965594897,0.9276669387038834,1.039720039965037,0.936142805797412,0.8402811636324576,{'n_estimators': 100}
11,E&E,BG_total,0.9201739967500998,0.9910023965594897,0.9276669387038834,1.039720039965037,0.8890085151906351,0.8886018285146112,{'n_estimators': 100}
12,CO2,ETR_total,0.9305877518106558,0.8606281735393073,0.9382443515758452,0.8761577489381662,0.9391054156379277,0.9311792086889904,{'n_estimators': 200}
13,CFCs,ETR_total,0.9305877518106558,0.8606281735393073,0.9382443515758452,0.8761577489381662,0.8826642706691211,2.172676076284338,{'n_estimators': 200}
14,Methane,ETR_total,0.9305877518106558,0.8606281735393073,0.9382443515758452,0.8761577489381662,0.9518605839670876,0.6463350374613215,{'n_estimators': 200}
15,E&E,ETR_total,0.9305877518106558,0.8606281735393073,0.9382443515758452,0.8761577489381662,0.9198020570986808,0.6155112026328585,{'n_estimators': 200}
16,CO2,RF_total,0.9202827681562669,0.9897250242703335,0.9281657427781959,1.0312706980620783,0.9284273352043664,1.1097062967219011,{'n_estimators': 200}
17,CFCs,RF_total,0.9202827681562669,0.9897250242703335,0.9281657427781959,1.0312706980620783,0.9199805719879649,1.588455957007415,{'n_estimators': 200}
18,Methane,RF_total,0.9202827681562669,0.9897250242703335,0.9281657427781959,1.0312706980620783,0.9379692064809095,0.8174989387116329,{'n_estimators': 200}
19,E&E,RF_total,0.9202827681562669,0.9897250242703335,0.9281657427781959,1.0312706980620783,0.8912995486620202,0.8683953888675713,{'n_estimators': 200}
20,CO2,LGBM_total,0.927722602858767,0.8957804226854102,0.9388044264720913,0.9063614408248828,0.9446399231839293,0.8852600920577081,"{'learning_rate': 0.5, 'n_estimators': 200, 'num_leaves': 50}"
21,CFCs,LGBM_total,0.927722602858767,0.8957804226854102,0.9388044264720913,0.9063614408248828,0.9185206361330722,1.7261398875180738,"{'learning_rate': 0.5, 'n_estimators': 200, 'num_leaves': 50}"
22,Methane,LGBM_total,0.927722602858767,0.8957804226854102,0.9388044264720913,0.9063614408248828,0.9319301874264273,0.9098293479426024,"{'learning_rate': 0.5, 'n_estimators': 200, 'num_leaves': 50}"
23,E&E,LGBM_total,0.927722602858767,0.8957804226854102,0.9388044264720913,0.9063614408248828,0.9131245237922838,0.7324512009076701,"{'learning_rate': 0.5, 'n_estimators': 200, 'num_leaves': 50}"
24,CO2,BGLGBM_total,0.934144066391698,0.821643983916991,0.9414869531525825,0.818566294946543,0.9449453321566418,0.8352681437495014,{'n_estimators': 50}
