,Gas,Model_name,CV_r2,CV_mse,test_r2_total_model,test_mse_by_total_model,test_r2_separa_model,test_mse_separa_model,best_param
0,CO2,DT_total,0.870786210759022,1.6511523351508373,0.8619619550672271,1.844582582175226,0.8665530849862714,1.787880072670593,{'criterion': 'squared_error'}
1,CFCs,DT_total,0.870786210759022,1.6511523351508373,0.8619619550672271,1.844582582175226,0.7442591112785151,3.5095848056494376,{'criterion': 'squared_error'}
2,Methane,DT_total,0.870786210759022,1.6511523351508373,0.8619619550672271,1.844582582175226,0.873227507427158,2.0125093572774646,{'criterion': 'squared_error'}
3,E&E,DT_total,0.870786210759022,1.6511523351508373,0.8619619550672271,1.844582582175226,0.8259274932420317,1.2596925389150397,{'criterion': 'squared_error'}
4,CO2,GBR_total,0.9183064557572477,1.0544130583887843,0.9158154074087489,1.012428833406465,0.9202293863078806,0.9572946209681107,"{'learning_rate': 0.5, 'n_estimators': 200}"
5,CFCs,GBR_total,0.9183064557572477,1.0544130583887843,0.9158154074087489,1.012428833406465,0.8207367300488457,2.062636564587635,"{'learning_rate': 0.5, 'n_estimators': 200}"
6,Methane,GBR_total,0.9183064557572477,1.0544130583887843,0.9158154074087489,1.012428833406465,0.9203936279363629,1.1514119390177102,"{'learning_rate': 0.5, 'n_estimators': 200}"
7,E&E,GBR_total,0.9183064557572477,1.0544130583887843,0.9158154074087489,1.012428833406465,0.9008769366003404,0.6755967473128783,"{'learning_rate': 0.5, 'n_estimators': 200}"
8,CO2,BG_total,0.9243477553149946,0.9688074712721813,0.9162375871651058,1.0243968795262068,0.9203978501487615,0.9989809434652956,{'n_estimators': 100}
9,CFCs,BG_total,0.9243477553149946,0.9688074712721813,0.9162375871651058,1.0243968795262068,0.7980224552671162,2.1562331953482397,{'n_estimators': 100}
10,Methane,BG_total,0.9243477553149946,0.9688074712721813,0.9162375871651058,1.0243968795262068,0.9238812014434914,1.0788239650664753,{'n_estimators': 100}
11,E&E,BG_total,0.9243477553149946,0.9688074712721813,0.9162375871651058,1.0243968795262068,0.8975581733820809,0.6771802464483943,{'n_estimators': 100}
12,CO2,ETR_total,0.9342117124894098,0.8437713165438208,0.9281962179306079,0.8868084598618589,0.9359411141014131,0.8196017764829461,{'n_estimators': 200}
13,CFCs,ETR_total,0.9342117124894098,0.8437713165438208,0.9281962179306079,0.8868084598618589,0.7869747192595091,2.176625018915525,{'n_estimators': 200}
14,Methane,ETR_total,0.9342117124894098,0.8437713165438208,0.9281962179306079,0.8868084598618589,0.9274585782407705,1.0206555994562065,{'n_estimators': 200}
15,E&E,ETR_total,0.9342117124894098,0.8437713165438208,0.9281962179306079,0.8868084598618589,0.9189017998688073,0.5418417910113803,{'n_estimators': 200}
16,CO2,RF_total,0.9249500375536084,0.9606190027746695,0.9168625285515408,1.0151749227395326,0.9208546364260752,0.9900568302244833,{'n_estimators': 200}
17,CFCs,RF_total,0.9249500375536084,0.9606190027746695,0.9168625285515408,1.0151749227395326,0.8006560183804792,2.14099193378208,{'n_estimators': 200}
18,Methane,RF_total,0.9249500375536084,0.9606190027746695,0.9168625285515408,1.0151749227395326,0.9250895919579124,1.0621368778721763,{'n_estimators': 200}
19,E&E,RF_total,0.9249500375536084,0.9606190027746695,0.9168625285515408,1.0151749227395326,0.8965733922584935,0.6828698200738078,{'n_estimators': 200}
20,CO2,LGBM_total,0.9318170308878561,0.870732395157604,0.9375883495056538,0.7820355751565807,0.9454466807139243,0.6851263689959534,"{'learning_rate': 0.5, 'n_estimators': 200, 'num_leaves': 50}"
21,CFCs,LGBM_total,0.9318170308878561,0.870732395157604,0.9375883495056538,0.7820355751565807,0.9450138457247728,0.8447794087736311,"{'learning_rate': 0.5, 'n_estimators': 200, 'num_leaves': 50}"
22,Methane,LGBM_total,0.9318170308878561,0.870732395157604,0.9375883495056538,0.7820355751565807,0.9177848867615793,1.1878524840251485,"{'learning_rate': 0.5, 'n_estimators': 200, 'num_leaves': 50}"
23,E&E,LGBM_total,0.9318170308878561,0.870732395157604,0.9375883495056538,0.7820355751565807,0.9326748604723929,0.4574899023841327,"{'learning_rate': 0.5, 'n_estimators': 200, 'num_leaves': 50}"
24,CO2,BGLGBM_total,0.9376487883758614,0.799769366479316,0.9328260721449049,0.8104842410591733,0.9377669208135428,0.7553765017409805,{'n_estimators': 30}
