,Gas,Model_name,CV_r2,CV_mse,test_r2_total_model,test_mse_by_total_model,test_r2_separa_model,test_mse_separa_model,best_param
0,CO2,DT_total,0.871665098179389,1.6858660533321619,0.8770935470406248,1.3174532356907918,0.8960552275565825,1.1326965667510822,{'criterion': 'friedman_mse'}
1,CFCs,DT_total,0.871665098179389,1.6858660533321619,0.8770935470406248,1.3174532356907918,0.6979628243903151,5.009930722771921,{'criterion': 'friedman_mse'}
2,Methane,DT_total,0.871665098179389,1.6858660533321619,0.8770935470406248,1.3174532356907918,0.8749000442599797,1.2861820467841911,{'criterion': 'friedman_mse'}
3,E&E,DT_total,0.871665098179389,1.6858660533321619,0.8770935470406248,1.3174532356907918,0.8537153098487038,1.086047814911449,{'criterion': 'friedman_mse'}
4,CO2,GBR_total,0.9215528676111889,1.0447666762119043,0.9197114729175092,0.8289701238975938,0.9337359934209766,0.696935345912129,"{'learning_rate': 0.5, 'n_estimators': 200}"
5,CFCs,GBR_total,0.9215528676111889,1.0447666762119043,0.9197114729175092,0.8289701238975938,0.8269851501234141,2.918087320163818,"{'learning_rate': 0.5, 'n_estimators': 200}"
6,Methane,GBR_total,0.9215528676111889,1.0447666762119043,0.9197114729175092,0.8289701238975938,0.9141765352992076,0.8973561033865748,"{'learning_rate': 0.5, 'n_estimators': 200}"
7,E&E,GBR_total,0.9215528676111889,1.0447666762119043,0.9197114729175092,0.8289701238975938,0.8876009730166603,0.6714757465506068,"{'learning_rate': 0.5, 'n_estimators': 200}"
8,CO2,BG_total,0.923235233418966,1.007067263234954,0.915807877252452,0.8377267727888312,0.9386825871748234,0.6305379197280103,{'n_estimators': 100}
9,CFCs,BG_total,0.923235233418966,1.007067263234954,0.915807877252452,0.8377267727888312,0.600486557443529,5.240958434573627,{'n_estimators': 100}
10,Methane,BG_total,0.923235233418966,1.007067263234954,0.915807877252452,0.8377267727888312,0.9285348761243353,0.7002608759549308,{'n_estimators': 100}
11,E&E,BG_total,0.923235233418966,1.007067263234954,0.915807877252452,0.8377267727888312,0.8920923878332339,0.6871076024527277,{'n_estimators': 100}
12,CO2,ETR_total,0.9374842169464166,0.8284800836284409,0.9300778477575128,0.6932746286440121,0.9453291204216013,0.5572644008116545,{'n_estimators': 200}
13,CFCs,ETR_total,0.9374842169464166,0.8284800836284409,0.9300778477575128,0.6932746286440121,0.7487661671148756,3.553791184767408,{'n_estimators': 200}
14,Methane,ETR_total,0.9374842169464166,0.8284800836284409,0.9300778477575128,0.6932746286440121,0.9360885241078355,0.6272839932965866,{'n_estimators': 200}
15,E&E,ETR_total,0.9374842169464166,0.8284800836284409,0.9300778477575128,0.6932746286440121,0.9091239156472335,0.5580387661240355,{'n_estimators': 200}
16,CO2,RF_total,0.9232649414876957,1.0054793035138716,0.9160030001580576,0.8347469220975375,0.9386597666395328,0.6286401870383287,{'n_estimators': 200}
17,CFCs,RF_total,0.9232649414876957,1.0054793035138716,0.9160030001580576,0.8347469220975375,0.6026549906450627,5.251765742345323,{'n_estimators': 200}
18,Methane,RF_total,0.9232649414876957,1.0054793035138716,0.9160030001580576,0.8347469220975375,0.9291968042544926,0.6939531880092517,{'n_estimators': 200}
19,E&E,RF_total,0.9232649414876957,1.0054793035138716,0.9160030001580576,0.8347469220975375,0.8934977911405966,0.6805241924057671,{'n_estimators': 200}
20,CO2,LGBM_total,0.930145470120196,0.9106477275384659,0.9381697805071524,0.6422629340953976,0.953248476933495,0.4828963268267453,"{'learning_rate': 0.5, 'n_estimators': 200, 'num_leaves': 50}"
21,CFCs,LGBM_total,0.930145470120196,0.9106477275384659,0.9381697805071524,0.6422629340953976,0.8612946299631457,2.589187371416188,"{'learning_rate': 0.5, 'n_estimators': 200, 'num_leaves': 50}"
22,Methane,LGBM_total,0.930145470120196,0.9106477275384659,0.9381697805071524,0.6422629340953976,0.920091298525078,0.7987116448561427,"{'learning_rate': 0.5, 'n_estimators': 200, 'num_leaves': 50}"
23,E&E,LGBM_total,0.930145470120196,0.9106477275384659,0.9381697805071524,0.6422629340953976,0.9318232513472287,0.5003439073111777,"{'learning_rate': 0.5, 'n_estimators': 200, 'num_leaves': 50}"
24,CO2,BGLGBM_total,0.9396991502819059,0.7951391854058334,0.9370448566924532,0.6295332202799624,0.9523378891144062,0.4868939419713913,{'n_estimators': 50}
25,CFCs,BGLGBM_total,0.9396991502819059,0.7951391854058334,0.9370448566924532,0.6295332202799624,0.8198101009414267,2.7623278171052097,{'n_estimators': 50}
26,Methane,BGLGBM_total,0.9396991502819059,0.7951391854058334,0.9370448566924532,0.6295332202799624,0.929557526069548,0.6981971660785525,{'n_estimators': 50}
27,E&E,BGLGBM_total,0.9396991502819059,0.7951391854058334,0.9370448566924532,0.6295332202799624,0.9166909976596993,0.5101714735949217,{'n_estimators': 50}
28,CO2,DT_separate,0.8809704959555932,1.7566451521565436,-1.0,-1.0,0.8993032511971504,1.0817825338775708,{'criterion': 'squared_error'}
29,CO2,GBR_separate,0.9392115568413691,0.9054776504510486,-1.0,-1.0,0.9532717444056402,0.49975664377396156,"{'learning_rate': 0.5, 'n_estimators': 200}"
30,CO2,BG_separate,0.9301997659192864,1.0424354865220729,-1.0,-1.0,0.9395389335665462,0.6216723762434778,{'n_estimators': 100}
31,CO2,ETR_separate,0.9402533517069017,0.8878966389447885,-1.0,-1.0,0.9431178176335497,0.5766778401141323,{'n_estimators': 120}
32,CO2,RF_separate,0.9306856936339839,1.0347124416487825,-1.0,-1.0,0.939787008890671,0.6169807326585227,{'n_estimators': 180}
33,CO2,LGBM_separate,0.941689557080319,0.8683622778373424,-1.0,-1.0,0.9553486680672021,0.48243835805171803,"{'learning_rate': 0.5, 'n_estimators': 200, 'num_leaves': 50}"
34,CO2,BGLGBM_separate,0.9477861095841786,0.7850956047480773,-1.0,-1.0,0.9577974637190007,0.4303526596465435,{'n_estimators': 50}
35,CFCs,DT_separate,0.8113836109506058,3.4934822648806843,-1.0,-1.0,0.6120187458468317,9.997270662614078,{'criterion': 'friedman_mse'}
36,CFCs,GBR_separate,0.9232700100202662,1.6482762426500117,-1.0,-1.0,0.7443374229224207,7.324021551264656,"{'learning_rate': 0.5, 'n_estimators': 200}"
37,CFCs,BG_separate,0.9042648145963572,1.9392145422242621,-1.0,-1.0,0.7258397579464644,6.1361519896207115,{'n_estimators': 100}
38,CFCs,ETR_separate,0.9388032451131194,1.230706673795211,-1.0,-1.0,0.7171985394389104,4.97690093442608,{'n_estimators': 100}
39,CFCs,RF_separate,0.9041288984101268,1.9531474357446708,-1.0,-1.0,0.7236766633582105,6.1675641174003415,{'n_estimators': 200}
40,CFCs,LGBM_separate,0.9090544731114718,1.9751120899109793,-1.0,-1.0,0.7775777951101192,5.319819390571602,"{'learning_rate': 0.5, 'n_estimators': 200, 'num_leaves': 10}"
41,CFCs,BGLGBM_separate,0.9317501410925789,1.480248153257282,-1.0,-1.0,0.7347109786774375,6.098364948891766,{'n_estimators': 30}
42,Methane,DT_separate,0.8580944737864726,1.6493440635666403,-1.0,-1.0,0.860211278659637,1.4757760686557795,{'criterion': 'squared_error'}
43,Methane,GBR_separate,0.9067266611411234,1.0912694998684296,-1.0,-1.0,0.9326441379582271,0.6778283195878696,"{'learning_rate': 0.5, 'n_estimators': 200}"
44,Methane,BG_separate,0.9139223503816728,1.0114462360851157,-1.0,-1.0,0.9284307344360238,0.7049297656114483,{'n_estimators': 100}
45,Methane,ETR_separate,0.9231510398184749,0.8974083524195227,-1.0,-1.0,0.9345009610643481,0.6464928769243318,{'n_estimators': 150}
46,Methane,RF_separate,0.9140954958384893,1.0096632969432684,-1.0,-1.0,0.92896419151842,0.697939365488905,{'n_estimators': 200}
47,Methane,LGBM_separate,0.9184131863894507,0.9515563855978048,-1.0,-1.0,0.9291965722430797,0.7516641992281912,"{'learning_rate': 0.5, 'n_estimators': 200, 'num_leaves': 50}"
48,Methane,BGLGBM_separate,0.9276645707197794,0.8536236086023476,-1.0,-1.0,0.9389588214777774,0.6090442391328014,{'n_estimators': 50}
49,E&E,DT_separate,0.8261684915852048,1.2871500435861478,-1.0,-1.0,0.8546529086094704,1.0797936882668655,{'criterion': 'friedman_mse'}
50,E&E,GBR_separate,0.9241220451809617,0.5656468708760026,-1.0,-1.0,0.9376288508175746,0.4490910766494922,"{'learning_rate': 0.5, 'n_estimators': 200}"
51,E&E,BG_separate,0.8947243812925747,0.782779224513548,-1.0,-1.0,0.8959672662820508,0.6824121688426763,{'n_estimators': 100}
52,E&E,ETR_separate,0.907651545629722,0.6859806238200706,-1.0,-1.0,0.90969749266863,0.5591999967792306,{'n_estimators': 200}
53,E&E,RF_separate,0.8950578799743589,0.7801731652306888,-1.0,-1.0,0.8961627741687351,0.678764320710731,{'n_estimators': 180}
54,E&E,LGBM_separate,0.9282987782232766,0.5387208337060446,-1.0,-1.0,0.9413175353800716,0.3963551329628748,"{'learning_rate': 0.1, 'n_estimators': 200, 'num_leaves': 50}"
55,E&E,BGLGBM_separate,0.9312318142767906,0.5156293260182736,-1.0,-1.0,0.9383555205893855,0.39969296794066533,{'n_estimators': 50}
