,Gas,Model_name,CV_r2,CV_mse,test_r2_total_model,test_mse_by_total_model,test_r2_separa_model,test_mse_separa_model,best_param
0,CO2,DT_total,0.8466415457778155,1.8626254235159265,0.875098567542018,1.8807598638890102,0.9086651216922331,1.601927370574108,{'criterion': 'squared_error'}
1,CFCs,DT_total,0.8466415457778155,1.8626254235159265,0.875098567542018,1.8807598638890102,0.6481574632901266,5.990024875015521,{'criterion': 'squared_error'}
2,Methane,DT_total,0.8466415457778155,1.8626254235159265,0.875098567542018,1.8807598638890102,0.807014918012245,2.253574912330567,{'criterion': 'squared_error'}
3,E&E,DT_total,0.8466415457778155,1.8626254235159265,0.875098567542018,1.8807598638890102,0.8453874224325149,1.1407437724140856,{'criterion': 'squared_error'}
4,CO2,GBR_total,0.9183026824264298,0.9958756614795943,0.9207421829951512,1.203785164303856,0.94055702361111,0.9845588264726146,"{'learning_rate': 0.5, 'n_estimators': 200}"
5,CFCs,GBR_total,0.9183026824264298,0.9958756614795943,0.9207421829951512,1.203785164303856,0.8289204970693472,4.675537858236078,"{'learning_rate': 0.5, 'n_estimators': 200}"
6,Methane,GBR_total,0.9183026824264298,0.9958756614795943,0.9207421829951512,1.203785164303856,0.8900739889238934,1.4080537120110022,"{'learning_rate': 0.5, 'n_estimators': 200}"
7,E&E,GBR_total,0.9183026824264298,0.9958756614795943,0.9207421829951512,1.203785164303856,0.8985001331573733,0.7077713213305943,"{'learning_rate': 0.5, 'n_estimators': 200}"
8,CO2,BG_total,0.9128906023799622,1.0577549276797389,0.920337384672536,1.155817632629895,0.942242370794205,0.9778490373531425,{'n_estimators': 100}
9,CFCs,BG_total,0.9128906023799622,1.0577549276797389,0.920337384672536,1.155817632629895,0.7619919140651031,3.9111835719800236,{'n_estimators': 100}
10,Methane,BG_total,0.9128906023799622,1.0577549276797389,0.920337384672536,1.155817632629895,0.8830170651757614,1.3400892892712717,{'n_estimators': 100}
11,E&E,BG_total,0.9128906023799622,1.0577549276797389,0.920337384672536,1.155817632629895,0.8889977570775662,0.739803703533134,{'n_estimators': 100}
12,CO2,ETR_total,0.925117605678895,0.9058289311019723,0.9334204875329922,0.9848691423758071,0.9509977916636988,0.8552202683359624,{'n_estimators': 180}
13,CFCs,ETR_total,0.925117605678895,0.9058289311019723,0.9334204875329922,0.9848691423758071,0.8692744028503515,2.1477425156365966,{'n_estimators': 180}
14,Methane,ETR_total,0.925117605678895,0.9058289311019723,0.9334204875329922,0.9848691423758071,0.8834489369605066,1.312922967682141,{'n_estimators': 180}
15,E&E,ETR_total,0.925117605678895,0.9058289311019723,0.9334204875329922,0.9848691423758071,0.9109010397538634,0.6042052326698287,{'n_estimators': 180}
16,CO2,RF_total,0.9133646967100517,1.0522788180100395,0.9199217012237413,1.159808012080799,0.9414170784607975,0.9901614773431624,{'n_estimators': 180}
17,CFCs,RF_total,0.9133646967100517,1.0522788180100395,0.9199217012237413,1.159808012080799,0.7645208973197805,3.8655566659368397,{'n_estimators': 180}
18,Methane,RF_total,0.9133646967100517,1.0522788180100395,0.9199217012237413,1.159808012080799,0.8837688301060308,1.329660951972986,{'n_estimators': 180}
19,E&E,RF_total,0.9133646967100517,1.0522788180100395,0.9199217012237413,1.159808012080799,0.8875773836296371,0.747029024472259,{'n_estimators': 180}
20,CO2,LGBM_total,0.9219839911102998,0.9516789970304886,0.9390472008814639,0.921561922369086,0.9576753701707741,0.7448253922609142,"{'learning_rate': 0.5, 'n_estimators': 200, 'num_leaves': 50}"
21,CFCs,LGBM_total,0.9219839911102998,0.9516789970304886,0.9390472008814639,0.921561922369086,0.9236291854318451,1.4030950375187643,"{'learning_rate': 0.5, 'n_estimators': 200, 'num_leaves': 50}"
22,Methane,LGBM_total,0.9219839911102998,0.9516789970304886,0.9390472008814639,0.921561922369086,0.8692293352195841,1.48742285521242,"{'learning_rate': 0.5, 'n_estimators': 200, 'num_leaves': 50}"
23,E&E,LGBM_total,0.9219839911102998,0.9516789970304886,0.9390472008814639,0.921561922369086,0.9252268752614272,0.5567756701410187,"{'learning_rate': 0.5, 'n_estimators': 200, 'num_leaves': 50}"
24,CO2,BGLGBM_total,0.9329102192820699,0.8142222086524104,0.943283160649411,0.8327613407015428,0.9545087232635512,0.7747124444785328,{'n_estimators': 50}
25,CFCs,BGLGBM_total,0.9329102192820699,0.8142222086524104,0.943283160649411,0.8327613407015428,0.9459025855813175,0.9993563438152017,{'n_estimators': 50}
26,Methane,BGLGBM_total,0.9329102192820699,0.8142222086524104,0.943283160649411,0.8327613407015428,0.9037244267419626,1.0991482976715763,{'n_estimators': 50}
27,E&E,BGLGBM_total,0.9329102192820699,0.8142222086524104,0.943283160649411,0.8327613407015428,0.9176020582606136,0.5572253939791855,{'n_estimators': 50}
28,CO2,DT_separate,0.8806899200967789,1.5026212786097193,-1.0,-1.0,0.9082826468203915,1.5698692838622297,{'criterion': 'friedman_mse'}
29,CO2,GBR_separate,0.9390522713911811,0.7656780045634693,-1.0,-1.0,0.9539209983340877,0.8014374417845191,"{'learning_rate': 0.5, 'n_estimators': 200}"
30,CO2,BG_separate,0.9251703210468643,0.9327373876656543,-1.0,-1.0,0.9402938254804026,1.0056733649480054,{'n_estimators': 100}
31,CO2,ETR_separate,0.9311925298740444,0.8624266173657616,-1.0,-1.0,0.9492252523936343,0.879635495708941,{'n_estimators': 180}
32,CO2,RF_separate,0.9253747205228701,0.9303797793196493,-1.0,-1.0,0.9414955068125865,0.9913852426264695,{'n_estimators': 200}
