,Gas,Model_name,CV_r2,CV_mse,test_r2_total_model,test_mse_by_total_model,test_r2_separa_model,test_mse_separa_model,best_param
0,CO2,DT_separate,0.8785386133237564,1.622441289621572,-1,-1,0.8744505374863296,1.698707504072158,{'criterion': 'squared_error'}
1,CO2,GBR_separate,0.9351494669037539,0.8462613938949533,-1,-1,0.9392684258424427,0.7490124513304275,"{'learning_rate': 0.5, 'n_estimators': 200}"
2,CO2,BG_separate,0.9236570622219687,1.0048481332018797,-1,-1,0.9176929615551879,1.0171180665172745,{'n_estimators': 100}
3,CO2,ETR_separate,0.932304259457293,0.8983852494487735,-1,-1,0.9396687941824903,0.7571405692851334,{'n_estimators': 180}
4,CO2,RF_separate,0.9236418744083703,1.0055639949694537,-1,-1,0.9184383948610189,1.0069567312403835,{'n_estimators': 200}
5,CO2,LGBM_separate,0.9313982689718724,0.9010378187890773,-1,-1,0.9386422135864241,0.7830391150230209,"{'learning_rate': 0.5, 'n_estimators': 200, 'num_leaves': 50}"
6,CO2,BGLGBM_separate,0.9412715477575764,0.7655240727476168,-1,-1,0.945923580596593,0.6631687042873738,{'n_estimators': 50}
7,CFCs,DT_separate,0.8496554916802452,2.554845324629527,-1,-1,0.9039758235734011,2.5612957234116815,{'criterion': 'absolute_error'}
8,CFCs,GBR_separate,0.9109629113923635,1.6137829709147855,-1,-1,0.967467456498139,0.8452208674029166,"{'learning_rate': 0.5, 'n_estimators': 200}"
9,CFCs,BG_separate,0.8980974998580059,1.8119017606540737,-1,-1,0.9279037902244714,1.8583124263920519,{'n_estimators': 100}
10,CFCs,ETR_separate,0.9292202043440245,1.2638228594138115,-1,-1,0.9730418198281994,0.6756438906993751,{'n_estimators': 150}
11,CFCs,RF_separate,0.9009585587212818,1.7653844396469491,-1,-1,0.9266531845384818,1.8947168699555523,{'n_estimators': 200}
12,CFCs,LGBM_separate,0.9301773195113396,1.286401050846663,-1,-1,0.954894694886027,1.165088452093474,"{'learning_rate': 0.5, 'n_estimators': 200, 'num_leaves': 10}"
13,CFCs,BGLGBM_separate,0.925907072052798,1.3289330121613923,-1,-1,0.9556527794335639,1.1435602813189656,{'n_estimators': 50}
14,Methane,DT_separate,0.8254784469908749,1.8965359318067325,-1,-1,0.8831387611762493,1.53080156836762,{'criterion': 'squared_error'}
15,Methane,GBR_separate,0.9042822275411119,1.0650171399571629,-1,-1,0.9287803895217039,0.8841238786709626,"{'learning_rate': 0.5, 'n_estimators': 200}"
16,Methane,BG_separate,0.898409599992419,1.124917743428652,-1,-1,0.9267413468879871,0.8837373191630439,{'n_estimators': 100}
17,Methane,ETR_separate,0.9081246450054101,1.027280215408196,-1,-1,0.9319677371646611,0.8001224684400933,{'n_estimators': 100}
18,Methane,RF_separate,0.8983253176985331,1.1252430002254603,-1,-1,0.9269798748136739,0.8803373607698342,{'n_estimators': 100}
19,Methane,LGBM_separate,0.9087452076147103,1.0072945049613273,-1,-1,0.9257699679694535,0.8932594773753202,"{'learning_rate': 0.5, 'n_estimators': 200, 'num_leaves': 50}"
20,Methane,BGLGBM_separate,0.9216838768067172,0.8726426328123825,-1,-1,0.9382753864773704,0.7230617690024186,{'n_estimators': 50}
21,E&E,DT_separate,0.8252535077742724,1.301685244093051,-1,-1,0.818717024890079,1.3024707504739628,{'criterion': 'friedman_mse'}
22,E&E,GBR_separate,0.9310525966412939,0.5171891051190637,-1,-1,0.9263149000874874,0.5033218468256796,"{'learning_rate': 0.5, 'n_estimators': 200}"
23,E&E,BG_separate,0.8970982989242963,0.7774832289688638,-1,-1,0.8527374932933391,0.9476487773319168,{'n_estimators': 100}
24,E&E,ETR_separate,0.8995758632143488,0.7458805789826726,-1,-1,0.873157539145369,0.7902071501713749,{'n_estimators': 120}
25,E&E,RF_separate,0.8966691688014361,0.7804896832845848,-1,-1,0.8497825621356591,0.9572196400514169,{'n_estimators': 180}
26,E&E,LGBM_separate,0.9327177076161416,0.5088485580654691,-1,-1,0.9182159294561592,0.5368840289752982,"{'learning_rate': 0.1, 'n_estimators': 200, 'num_leaves': 50}"
27,E&E,BGLGBM_separate,0.939035601855654,0.46272261130422726,-1,-1,0.9141801040443629,0.5585531798419117,{'n_estimators': 50}
