,Gas,Model_name,CV_r2,CV_mse,test_r2_total_model,test_mse_by_total_model,test_r2_separa_model,test_mse_separa_model,best_param
0,CO2,DT_separate,0.8910030970673569,1.5022737201150846,-1,-1,0.8908501424847173,1.4020680466744928,{'criterion': 'friedman_mse'}
1,CO2,GBR_separate,0.9454259048135875,0.756546989584334,-1,-1,0.944765879836191,0.6645690754884701,"{'learning_rate': 0.5, 'n_estimators': 200}"
2,CO2,BG_separate,0.9340135884436023,0.911162863620713,-1,-1,0.928054815360231,0.8634909280498966,{'n_estimators': 100}
3,CO2,ETR_separate,0.9404919228496293,0.8246669989096522,-1,-1,0.9302989089924347,0.8206744458533205,{'n_estimators': 180}
4,CO2,RF_separate,0.9344597331675306,0.9049156807329917,-1,-1,0.9268242423738947,0.8783540816903869,{'n_estimators': 200}
5,CO2,LGBM_separate,0.9422900713244765,0.8019058893726232,-1,-1,0.942275192925297,0.707390336190685,"{'learning_rate': 0.5, 'n_estimators': 200, 'num_leaves': 50}"
6,CO2,BGLGBM_separate,0.9475352698930127,0.7265472307734192,-1,-1,0.9443349590304315,0.6503300729556851,{'n_estimators': 50}
7,CFCs,DT_separate,0.8066968874838304,3.457421623158298,-1,-1,0.8812713504772728,2.483760121469208,{'criterion': 'friedman_mse'}
8,CFCs,GBR_separate,0.8801559660826783,2.3337926898103603,-1,-1,0.96098370840161,0.8358713920602007,"{'learning_rate': 0.5, 'n_estimators': 200}"
9,CFCs,BG_separate,0.8831493641757753,2.0636417785300685,-1,-1,0.9123175805598703,1.7785999073209304,{'n_estimators': 100}
10,CFCs,ETR_separate,0.9104756303032054,1.5617528027713763,-1,-1,0.9523847816543027,0.9583946061508463,{'n_estimators': 200}
11,CFCs,RF_separate,0.8846317769980523,2.0369522265579763,-1,-1,0.9125035935600482,1.7714296368211153,{'n_estimators': 200}
12,CFCs,LGBM_separate,0.8804521961702276,2.3380241689039414,-1,-1,0.9469776593332787,1.0963925325444366,"{'learning_rate': 0.5, 'n_estimators': 200, 'num_leaves': 10}"
13,CFCs,BGLGBM_separate,0.907477797663258,1.7275891970390922,-1,-1,0.9368660087882863,1.2996393928079892,{'n_estimators': 30}
14,Methane,DT_separate,0.8196916238772858,2.0022377189753575,-1,-1,0.9029613280416301,1.2476173801678214,{'criterion': 'squared_error'}
15,Methane,GBR_separate,0.906273721177804,1.086621850092698,-1,-1,0.9381530882304799,0.7390776842182913,"{'learning_rate': 0.5, 'n_estimators': 200}"
16,Methane,BG_separate,0.899576288697036,1.132922977143162,-1,-1,0.9370977270015628,0.7474638212109523,{'n_estimators': 100}
17,Methane,ETR_separate,0.9072739428724235,1.047454111129299,-1,-1,0.9397592797105526,0.7055508601592921,{'n_estimators': 200}
18,Methane,RF_separate,0.9007693275179435,1.1204900943006773,-1,-1,0.9375000806437067,0.7421544339678261,{'n_estimators': 200}
19,Methane,LGBM_separate,0.896242075140768,1.1829886524166355,-1,-1,0.9454643218751363,0.6490697582027258,"{'learning_rate': 0.5, 'n_estimators': 200, 'num_leaves': 50}"
20,Methane,BGLGBM_separate,0.9148356807413991,0.9770318737426036,-1,-1,0.9519606116168501,0.560397642728805,{'n_estimators': 50}
21,E&E,DT_separate,0.8343745990126352,1.1913150191070296,-1,-1,0.8056518131202139,1.4694222723677188,{'criterion': 'squared_error'}
22,E&E,GBR_separate,0.9256878506386004,0.533119342883934,-1,-1,0.9523556055736896,0.35117495597831827,"{'learning_rate': 0.5, 'n_estimators': 200}"
23,E&E,BG_separate,0.8929919082146844,0.7751206063508089,-1,-1,0.8629301752171544,0.9471301198091804,{'n_estimators': 100}
24,E&E,ETR_separate,0.8969346748382842,0.7515540822919189,-1,-1,0.8646978063059533,0.9181707472401102,{'n_estimators': 200}
25,E&E,RF_separate,0.8938922681591572,0.7675549168885125,-1,-1,0.863608254300994,0.9418559537788377,{'n_estimators': 200}
26,E&E,LGBM_separate,0.9270316396849045,0.5197155123422752,-1,-1,0.9457401108288249,0.39999605275030364,"{'learning_rate': 0.1, 'n_estimators': 200, 'num_leaves': 50}"
27,E&E,BGLGBM_separate,0.9346235675488934,0.4720401577287906,-1,-1,0.9468560961272365,0.38259340260329777,{'n_estimators': 50}
