,Gas,Model_name,CV_r2,CV_mse,test_r2_total_model,test_mse_by_total_model,test_r2_separa_model,test_mse_separa_model,best_param
0,CO2,DT_total,0.8748582073602795,1.6174179297907467,0.8985805010434054,1.5177917536239534,0.9017239705686549,1.5792664137305352,{'criterion': 'squared_error'}
1,CFCs,DT_total,0.8748582073602795,1.6174179297907467,0.8985805010434054,1.5177917536239534,0.9068805385691021,0.698593998355839,{'criterion': 'squared_error'}
2,Methane,DT_total,0.8748582073602795,1.6174179297907467,0.8985805010434054,1.5177917536239534,0.8916441144888393,1.6418753253979594,{'criterion': 'squared_error'}
3,E&E,DT_total,0.8748582073602795,1.6174179297907467,0.8985805010434054,1.5177917536239534,0.878160551017129,1.061234253847275,{'criterion': 'squared_error'}
4,CO2,GBR_total,0.9159364568850521,1.0705413115129154,0.9124314409097932,1.260777281546767,0.92072065498528,1.1390084363095658,"{'learning_rate': 0.5, 'n_estimators': 200}"
5,CFCs,GBR_total,0.9159364568850521,1.0705413115129154,0.9124314409097932,1.260777281546767,0.9659619199717849,0.15270508951630693,"{'learning_rate': 0.5, 'n_estimators': 200}"
6,Methane,GBR_total,0.9159364568850521,1.0705413115129154,0.9124314409097932,1.260777281546767,0.8938286285689283,1.8421305044854352,"{'learning_rate': 0.5, 'n_estimators': 200}"
7,E&E,GBR_total,0.9159364568850521,1.0705413115129154,0.9124314409097932,1.260777281546767,0.9049809479002257,0.7548006321790279,"{'learning_rate': 0.5, 'n_estimators': 200}"
8,CO2,BG_total,0.9256046606469763,0.9572284980273602,0.9332581584725836,0.9467664161162463,0.9312924923087639,1.0379609345097784,{'n_estimators': 100}
9,CFCs,BG_total,0.9256046606469763,0.9572284980273602,0.9332581584725836,0.9467664161162463,0.9477493301725133,0.3579114009827385,{'n_estimators': 100}
10,Methane,BG_total,0.9256046606469763,0.9572284980273602,0.9332581584725836,0.9467664161162463,0.9397500317833335,0.8877233221927632,{'n_estimators': 100}
11,E&E,BG_total,0.9256046606469763,0.9572284980273602,0.9332581584725836,0.9467664161162463,0.9116559879741156,0.710285722614509,{'n_estimators': 100}
12,CO2,ETR_total,0.9339986257838511,0.8519958610116565,0.9398368721526448,0.8399324055726278,0.9359256060485245,0.9577650766700665,{'n_estimators': 200}
13,CFCs,ETR_total,0.9339986257838511,0.8519958610116565,0.9398368721526448,0.8399324055726278,0.9699099050406752,0.11719546902907307,{'n_estimators': 200}
14,Methane,ETR_total,0.9339986257838511,0.8519958610116565,0.9398368721526448,0.8399324055726278,0.9484384948090497,0.7426015991692969,{'n_estimators': 200}
15,E&E,ETR_total,0.9339986257838511,0.8519958610116565,0.9398368721526448,0.8399324055726278,0.9292405867058263,0.5749235444398734,{'n_estimators': 200}
16,CO2,RF_total,0.92572558896475,0.9573742751867487,0.933281556090053,0.9456395532129529,0.9311526858177204,1.0377814077786671,{'n_estimators': 200}
17,CFCs,RF_total,0.92572558896475,0.9573742751867487,0.933281556090053,0.9456395532129529,0.9502746048892396,0.3360577505429654,{'n_estimators': 200}
18,Methane,RF_total,0.92572558896475,0.9573742751867487,0.933281556090053,0.9456395532129529,0.9398101650863058,0.8896678235772522,{'n_estimators': 200}
19,E&E,RF_total,0.92572558896475,0.9573742751867487,0.933281556090053,0.9456395532129529,0.9124865580535455,0.700784063699219,{'n_estimators': 200}
20,CO2,LGBM_total,0.9314063398331642,0.8759441642791137,0.9436699239405667,0.7789896577696307,0.948876857735547,0.7651164500101061,"{'learning_rate': 0.5, 'n_estimators': 200, 'num_leaves': 50}"
21,CFCs,LGBM_total,0.9314063398331642,0.8759441642791137,0.9436699239405667,0.7789896577696307,0.9759851769637753,0.10537623399789946,"{'learning_rate': 0.5, 'n_estimators': 200, 'num_leaves': 50}"
22,Methane,LGBM_total,0.9314063398331642,0.8759441642791137,0.9436699239405667,0.7789896577696307,0.9283313914166018,0.976675644751411,"{'learning_rate': 0.5, 'n_estimators': 200, 'num_leaves': 50}"
23,E&E,LGBM_total,0.9314063398331642,0.8759441642791137,0.9436699239405667,0.7789896577696307,0.9374097361200391,0.5141118956266223,"{'learning_rate': 0.5, 'n_estimators': 200, 'num_leaves': 50}"
24,CO2,BGLGBM_total,0.9397911912135675,0.7820709536915144,0.9402379951146576,0.8038907599185127,0.9411027077995928,0.8440219553751729,{'n_estimators': 30}
25,CFCs,BGLGBM_total,0.9397911912135675,0.7820709536915144,0.9402379951146576,0.8038907599185127,0.9848405208832041,0.08142988248861417,{'n_estimators': 30}
26,Methane,BGLGBM_total,0.9397911912135675,0.7820709536915144,0.9402379951146576,0.8038907599185127,0.935502366198855,0.8916756262177435,{'n_estimators': 30}
27,E&E,BGLGBM_total,0.9397911912135675,0.7820709536915144,0.9402379951146576,0.8038907599185127,0.9336093319568564,0.518921886915105,{'n_estimators': 30}
28,CO2,DT_separate,0.8909757656970474,1.5738221056206574,-1.0,-1.0,0.9022247668328981,1.6035286005373697,{'criterion': 'squared_error'}
29,CO2,GBR_separate,0.9390016481239642,0.876876975023885,-1.0,-1.0,0.9462379486045018,0.8239502846798485,"{'learning_rate': 0.5, 'n_estimators': 200}"
30,CO2,BG_separate,0.9368710099169212,0.9043920777202754,-1.0,-1.0,0.9329307910867319,1.0124308792081356,{'n_estimators': 100}
31,CO2,ETR_separate,0.9400031046312411,0.8403875342248416,-1.0,-1.0,0.9369570148196333,0.9577095997681344,{'n_estimators': 200}
32,CO2,RF_separate,0.9370644136240512,0.9017660472976766,-1.0,-1.0,0.9328781725357178,1.0141320677471966,{'n_estimators': 180}
33,CO2,LGBM_separate,0.9416619272332889,0.8679548386290674,-1.0,-1.0,0.940445610975173,0.9038626137714175,"{'learning_rate': 0.5, 'n_estimators': 200, 'num_leaves': 50}"
34,CO2,BGLGBM_separate,0.9491527699230184,0.7441786940910886,-1.0,-1.0,0.946743203475454,0.7708964779762443,{'n_estimators': 50}
35,CFCs,DT_separate,0.8115899506655445,1.7097375363648943,-1.0,-1.0,0.8949889642833216,0.8931439958629895,{'criterion': 'squared_error'}
36,CFCs,GBR_separate,0.9234061555374149,0.6577520994369571,-1.0,-1.0,0.9878302576916825,0.061174790295416316,"{'learning_rate': 0.1, 'n_estimators': 200}"
37,CFCs,BG_separate,0.8522744239668698,1.211397463769605,-1.0,-1.0,0.9871833063568494,0.06728598627418497,{'n_estimators': 100}
38,CFCs,ETR_separate,0.8550902593816196,1.077869546225703,-1.0,-1.0,0.9620353688171877,0.24842725589506368,{'n_estimators': 50}
39,CFCs,RF_separate,0.849855342966807,1.272405837513215,-1.0,-1.0,0.9850994459645155,0.08241490095038291,{'n_estimators': 200}
40,CFCs,LGBM_separate,0.904010021249492,0.7601038155966059,-1.0,-1.0,0.9564974841392015,0.29070535240566503,"{'learning_rate': 0.5, 'n_estimators': 200, 'num_leaves': 20}"
41,CFCs,BGLGBM_separate,0.9134602613165523,0.8195999546790507,-1.0,-1.0,0.9874911402463201,0.06688245627558655,{'n_estimators': 50}
42,Methane,DT_separate,0.8383319742109177,1.7159676690306989,-1.0,-1.0,0.8996640597631175,1.5138704094194126,{'criterion': 'squared_error'}
43,Methane,GBR_separate,0.9048736426919728,1.0389921422327384,-1.0,-1.0,0.9277796486746729,1.1091278181761688,"{'learning_rate': 0.5, 'n_estimators': 200}"
44,Methane,BG_separate,0.9092249124163845,0.9782827672431573,-1.0,-1.0,0.937889605319551,0.9186166237353355,{'n_estimators': 100}
45,Methane,ETR_separate,0.9173562537545333,0.8988738175511923,-1.0,-1.0,0.9498633005800045,0.7203331310718812,{'n_estimators': 180}
46,Methane,RF_separate,0.9095525931705873,0.97410138209367,-1.0,-1.0,0.937208838943966,0.9283468250529973,{'n_estimators': 150}
47,Methane,LGBM_separate,0.916534679957979,0.9037619865794584,-1.0,-1.0,0.9494601277698193,0.7446230645947403,"{'learning_rate': 0.1, 'n_estimators': 200, 'num_leaves': 50}"
48,Methane,BGLGBM_separate,0.9204156214764401,0.8721985360292743,-1.0,-1.0,0.9509758646837877,0.6995277928813008,{'n_estimators': 50}
49,E&E,DT_separate,0.8577243585700505,1.0451846718372928,-1.0,-1.0,0.8856523355718958,1.0154346032474169,{'criterion': 'squared_error'}
50,E&E,GBR_separate,0.9332051185322161,0.4858320106891932,-1.0,-1.0,0.9539676256309574,0.39936448448514633,"{'learning_rate': 0.5, 'n_estimators': 200}"
51,E&E,BG_separate,0.903807300882774,0.7129723575478716,-1.0,-1.0,0.913518195748702,0.7014106659928704,{'n_estimators': 100}
52,E&E,ETR_separate,0.9160957565738107,0.6261612900342933,-1.0,-1.0,0.9199855697559483,0.6537688282472532,{'n_estimators': 200}
53,E&E,RF_separate,0.9044467769217945,0.7084797909327916,-1.0,-1.0,0.9139790489823103,0.7003041006304224,{'n_estimators': 150}
54,E&E,LGBM_separate,0.9381669897504714,0.44601131980192144,-1.0,-1.0,0.9509423980046168,0.41357126161973173,"{'learning_rate': 0.1, 'n_estimators': 200, 'num_leaves': 30}"
55,E&E,BGLGBM_separate,0.941888042926986,0.42289271307552206,-1.0,-1.0,0.9491925885602415,0.41818543009116527,{'n_estimators': 30}
