,Gas,Model_name,CV_r2,CV_mse,test_r2_total_model,test_mse_by_total_model,test_r2_separa_model,test_mse_separa_model,best_param,test_mse_separa_model,test_mse_separa_model,test_mse_separa_model,test_mse_separa_model,test_mse_separa_model,test_mse_separa_model,test_mse_separa_model,test_mse_separa_model,test_mse_separa_model,,
0,CO2,DT_total,0.872009625,1.739212189,0.892322954,1.388118117,0.911102923,1.229541211,{'criterion': 'squared_error'},1.669588917,1.619790888,1.506357931,1.510545259,1.532422002,1.674869249,1.527293364,1.407747518,1.442165738,1.51,0.13
1,CFCs,DT_total,0.872009625,1.739212189,0.892322954,1.388118117,0.772746313,4.509016954,{'criterion': 'squared_error'},1.477020772,0.410438613,1.335638976,2.192420012,1.50671241,3.368193614,0.654905562,4.646507407,2.88842837,2.30,1.51
2,Methane,DT_total,0.872009625,1.739212189,0.892322954,1.388118117,0.854050213,1.710073519,{'criterion': 'squared_error'},1.511800975,1.436171211,1.040099268,1.686273832,1.709907633,1.378623516,1.721335173,1.774470606,1.499145118,1.55,0.23
3,E&E,DT_total,0.872009625,1.739212189,0.892322954,1.388118117,0.868930964,1.015449587,{'criterion': 'squared_error'},1.112569444,1.405093254,1.132161997,0.879491893,0.982427572,1.32815068,1.041949481,1.955943993,1.026019893,1.19,0.31
4,CO2,GBR_total,0.924051397,1.04875447,0.921558465,1.011101807,0.944207487,0.75244304,"{'learning_rate': 0.5, 'n_estimators': 200}",0.954116752,1.07552655,0.949309013,0.769245221,0.859143786,0.970104156,1.131769564,1.110524497,0.851421634,0.94,0.14
5,CFCs,GBR_total,0.924051397,1.04875447,0.921558465,1.011101807,0.855892687,2.038833714,"{'learning_rate': 0.5, 'n_estimators': 200}",0.461220073,0.135163692,0.286619276,0.874847912,0.428692072,1.328564391,0.156319959,0.241953837,1.44197931,0.74,0.66
6,Methane,GBR_total,0.924051397,1.04875447,0.921558465,1.011101807,0.873051129,1.728306159,"{'learning_rate': 0.5, 'n_estimators': 200}",1.508194836,0.981023356,0.827185461,1.130377194,1.035084075,1.247188913,1.454622001,1.326708526,1.085622858,1.23,0.27
7,E&E,GBR_total,0.924051397,1.04875447,0.921558465,1.011101807,0.906356123,0.612817834,"{'learning_rate': 0.5, 'n_estimators': 200}",0.6593077,0.964114437,0.724837112,0.574239699,0.590506539,0.824194613,0.828970357,0.804961013,0.638686445,0.72,0.13
8,CO2,BG_total,0.924853189,1.018307433,0.9336373,0.813541792,0.945164813,0.739673957,{'n_estimators': 100},1.003918763,0.801254876,0.847823898,0.876307007,0.831581751,1.053287856,1.032511411,0.75861677,0.846324224,0.88,0.11
9,CFCs,BG_total,0.924853189,1.018307433,0.9336373,0.813541792,0.805022154,2.569400829,{'n_estimators': 100},0.44494377,0.301510108,0.612312815,0.55536363,0.904655168,1.813723404,0.14699957,1.280121548,2.2430571,1.09,0.85
10,Methane,BG_total,0.924853189,1.018307433,0.9336373,0.813541792,0.908523424,0.99430362,{'n_estimators': 100},0.806567358,0.716507706,0.71533874,0.960680458,0.949003474,0.800621412,0.884974903,1.096920949,0.860412851,0.88,0.12
