,Gas,Model_name,CV_r2,CV_mse,test_r2_total_model,test_mse_by_total_model,test_r2_separa_model,test_mse_separa_model,best_param
0,CO2,DT_total,0.884625919981411,1.5965744471001169,0.8828346767029849,1.4928570863087927,0.8908502658952036,1.5105452591631874,{'criterion': 'squared_error'}
1,CFCs,DT_total,0.884625919981411,1.5965744471001169,0.8828346767029849,1.4928570863087927,0.8823263162525751,2.1924200116240904,{'criterion': 'squared_error'}
2,Methane,DT_total,0.884625919981411,1.5965744471001169,0.8828346767029849,1.4928570863087927,0.8510671713866318,1.6862738321905109,{'criterion': 'squared_error'}
3,E&E,DT_total,0.884625919981411,1.5965744471001169,0.8828346767029849,1.4928570863087927,0.8950532974194075,0.879491893145632,{'criterion': 'squared_error'}
4,CO2,GBR_total,0.9309231717350839,0.9565253662115435,0.9326715029601463,0.8411102798475374,0.9437427844080019,0.7692452206154187,"{'learning_rate': 0.5, 'n_estimators': 200}"
5,CFCs,GBR_total,0.9309231717350839,0.9565253662115435,0.9326715029601463,0.8411102798475374,0.9424848419063426,0.8748479124865393,"{'learning_rate': 0.5, 'n_estimators': 200}"
6,Methane,GBR_total,0.9309231717350839,0.9565253662115435,0.9326715029601463,0.8411102798475374,0.8983361633867332,1.1303771943987952,"{'learning_rate': 0.5, 'n_estimators': 200}"
7,E&E,GBR_total,0.9309231717350839,0.9565253662115435,0.9326715029601463,0.8411102798475374,0.9275661404242074,0.5742396989976472,"{'learning_rate': 0.5, 'n_estimators': 200}"
8,CO2,BG_total,0.93303777786094,0.9292766392598976,0.928419158723697,0.8692253725254693,0.934465326287538,0.8763070073851896,{'n_estimators': 100}
9,CFCs,BG_total,0.93303777786094,0.9292766392598976,0.928419158723697,0.8692253725254693,0.9596485071536691,0.5553636300984521,{'n_estimators': 100}
10,Methane,BG_total,0.93303777786094,0.9292766392598976,0.928419158723697,0.8692253725254693,0.9075499035700301,0.9606804580121151,{'n_estimators': 100}
11,E&E,BG_total,0.93303777786094,0.9292766392598976,0.928419158723697,0.8692253725254693,0.9182930430290098,0.6830522493303015,{'n_estimators': 100}
12,CO2,ETR_total,0.9394936082049721,0.8363480929119371,0.9314119489399532,0.8220229487930318,0.9331368088157849,0.8870177189147088,{'n_estimators': 200}
13,CFCs,ETR_total,0.9394936082049721,0.8363480929119371,0.9314119489399532,0.8220229487930318,0.985285722914012,0.14313759719040778,{'n_estimators': 200}
14,Methane,ETR_total,0.9394936082049721,0.8363480929119371,0.9314119489399532,0.8220229487930318,0.914119744146149,0.8853024717373247,{'n_estimators': 200}
15,E&E,ETR_total,0.9394936082049721,0.8363480929119371,0.9314119489399532,0.8220229487930318,0.9451582524029031,0.45883630952548643,{'n_estimators': 200}
16,CO2,RF_total,0.9340977076021645,0.9138646329292435,0.9280113129032717,0.8716837896217946,0.9339955948137377,0.8801410448042862,{'n_estimators': 200}
17,CFCs,RF_total,0.9340977076021645,0.9138646329292435,0.9280113129032717,0.8716837896217946,0.9619710007762057,0.5115755243978519,{'n_estimators': 200}
18,Methane,RF_total,0.9340977076021645,0.9138646329292435,0.9280113129032717,0.8716837896217946,0.9077298543576837,0.9568835215712187,{'n_estimators': 200}
19,E&E,RF_total,0.9340977076021645,0.9138646329292435,0.9280113129032717,0.8716837896217946,0.9162895119991523,0.6990593166475292,{'n_estimators': 200}
