,Gas,Model_name,CV_r2,CV_mse,test_r2_total_model,test_mse_by_total_model,test_r2_separa_model,test_mse_separa_model,best_param
0,CO2,DT_total,0.88706454434421,1.5705302981926548,0.8832115369298981,1.496923318552269,0.8947408520804105,1.4159702913069823,{'criterion': 'squared_error'}
1,CFCs,DT_total,0.88706454434421,1.5705302981926548,0.8832115369298981,1.496923318552269,0.8304989012965294,3.1118781390454378,{'criterion': 'squared_error'}
2,Methane,DT_total,0.88706454434421,1.5705302981926548,0.8832115369298981,1.496923318552269,0.8526894939619698,1.8857264898899804,{'criterion': 'squared_error'}
3,E&E,DT_total,0.88706454434421,1.5705302981926548,0.8832115369298981,1.496923318552269,0.8847057632446931,0.8262576390299871,{'criterion': 'squared_error'}
4,CO2,GBR_total,0.9245355018236886,1.0580438696209284,0.929002015607675,0.8232245726162066,0.9357507062511582,0.7609551259812601,"{'learning_rate': 0.5, 'n_estimators': 200}"
5,CFCs,GBR_total,0.9245355018236886,1.0580438696209284,0.929002015607675,0.8232245726162066,0.9157285962343307,1.201002353992447,"{'learning_rate': 0.5, 'n_estimators': 200}"
6,Methane,GBR_total,0.9245355018236886,1.0580438696209284,0.929002015607675,0.8232245726162066,0.915241831722625,1.0247083219926072,"{'learning_rate': 0.5, 'n_estimators': 200}"
7,E&E,GBR_total,0.9245355018236886,1.0580438696209284,0.929002015607675,0.8232245726162066,0.9093317124935356,0.6493197118640701,"{'learning_rate': 0.5, 'n_estimators': 200}"
8,CO2,BG_total,0.9343997287688832,0.9213683060438592,0.9210860993119989,0.9431661820398798,0.9288314096029706,0.9078009736051733,{'n_estimators': 100}
9,CFCs,BG_total,0.9343997287688832,0.9213683060438592,0.9210860993119989,0.9431661820398798,0.8218254090497976,2.8350747096244517,{'n_estimators': 100}
10,Methane,BG_total,0.9343997287688832,0.9213683060438592,0.9210860993119989,0.9431661820398798,0.9067657594987121,1.0681623875955946,{'n_estimators': 100}
11,E&E,BG_total,0.9343997287688832,0.9213683060438592,0.9210860993119989,0.9431661820398798,0.9165866374664462,0.5654441431760464,{'n_estimators': 100}
12,CO2,ETR_total,0.9398575494473655,0.8415550594245879,0.9322615025135587,0.8045061132014462,0.9343002447110387,0.84871796101051,{'n_estimators': 200}
13,CFCs,ETR_total,0.9398575494473655,0.8415550594245879,0.9322615025135587,0.8045061132014462,0.7685545588204779,2.3288591741183517,{'n_estimators': 200}
14,Methane,ETR_total,0.9398575494473655,0.8415550594245879,0.9322615025135587,0.8045061132014462,0.933942030250823,0.729217418265993,{'n_estimators': 200}
15,E&E,ETR_total,0.9398575494473655,0.8415550594245879,0.9322615025135587,0.8045061132014462,0.9288510098806547,0.508375062351946,{'n_estimators': 200}
16,CO2,RF_total,0.9349339813578819,0.9139251286796675,0.9218112051545398,0.9340413484959652,0.9300178108820871,0.8914906594662949,{'n_estimators': 200}
17,CFCs,RF_total,0.9349339813578819,0.9139251286796675,0.9218112051545398,0.9340413484959652,0.8205890384959594,2.877862774021639,{'n_estimators': 200}
18,Methane,RF_total,0.9349339813578819,0.9139251286796675,0.9218112051545398,0.9340413484959652,0.9067493383320073,1.0694878026634478,{'n_estimators': 200}
19,E&E,RF_total,0.9349339813578819,0.9139251286796675,0.9218112051545398,0.9340413484959652,0.9169157744390587,0.5625152765939364,{'n_estimators': 200}
20,CO2,LGBM_total,0.9402299177781357,0.837503213323162,0.9431414001894953,0.6834828344990671,0.9593793920633207,0.5155778300821079,"{'learning_rate': 0.5, 'n_estimators': 200, 'num_leaves': 50}"
21,CFCs,LGBM_total,0.9402299177781357,0.837503213323162,0.9431414001894953,0.6834828344990671,0.9205389488102215,1.068588541424557,"{'learning_rate': 0.5, 'n_estimators': 200, 'num_leaves': 50}"
22,Methane,LGBM_total,0.9402299177781357,0.837503213323162,0.9431414001894953,0.6834828344990671,0.9011645389874821,1.1605921143673834,"{'learning_rate': 0.5, 'n_estimators': 200, 'num_leaves': 50}"
23,E&E,LGBM_total,0.9402299177781357,0.837503213323162,0.9431414001894953,0.6834828344990671,0.937573250061503,0.45369725877776107,"{'learning_rate': 0.5, 'n_estimators': 200, 'num_leaves': 50}"
24,CO2,BGLGBM_total,0.9452502063534831,0.7713551563622081,0.940083395696918,0.6957548653023153,0.9465723177014134,0.6592160533362305,{'n_estimators': 50}
25,CFCs,BGLGBM_total,0.9452502063534831,0.7713551563622081,0.940083395696918,0.6957548653023153,0.8509208242945083,1.7936274063941238,{'n_estimators': 50}
26,Methane,BGLGBM_total,0.9452502063534831,0.7713551563622081,0.940083395696918,0.6957548653023153,0.9285741996608424,0.816572630008668,{'n_estimators': 50}
27,E&E,BGLGBM_total,0.9452502063534831,0.7713551563622081,0.940083395696918,0.6957548653023153,0.9325375640865604,0.45429400488578237,{'n_estimators': 50}
28,CO2,DT_separate,0.8968523761599887,1.6412776657009918,-1.0,-1.0,0.8907116924768584,1.387554475833826,{'criterion': 'friedman_mse'}
29,CO2,GBR_separate,0.9463813841909576,0.8659173828472344,-1.0,-1.0,0.9436410638464986,0.7064059533480692,"{'learning_rate': 0.5, 'n_estimators': 200}"
30,CO2,BG_separate,0.9392072617085347,0.974035313556975,-1.0,-1.0,0.9325675198523378,0.8577738495620556,{'n_estimators': 100}
31,CO2,ETR_separate,0.9459788325733524,0.8623108836444405,-1.0,-1.0,0.9341121359328748,0.8501207821355793,{'n_estimators': 200}
32,CO2,RF_separate,0.939954873250939,0.9614351991923666,-1.0,-1.0,0.9321695918941252,0.8639385385422724,{'n_estimators': 200}
33,CO2,LGBM_separate,0.9425781202502235,0.9206343821844086,-1.0,-1.0,0.9449415066871076,0.6937109571392118,"{'learning_rate': 0.5, 'n_estimators': 200, 'num_leaves': 30}"
34,CO2,BGLGBM_separate,0.9474937917019005,0.8468678570796445,-1.0,-1.0,0.9462357298616433,0.6653975522107973,{'n_estimators': 50}
35,CFCs,DT_separate,0.7721157586867206,2.0364310571296764,-1.0,-1.0,0.7176522251460017,2.6579495888847666,{'criterion': 'friedman_mse'}
36,CFCs,GBR_separate,0.8664286345294021,1.3948199191359456,-1.0,-1.0,0.9302552580043394,0.9996155588533774,"{'learning_rate': 0.1, 'n_estimators': 200}"
37,CFCs,BG_separate,0.8486456825264229,1.690144817744629,-1.0,-1.0,0.8477121458510471,1.9423682496439145,{'n_estimators': 100}
38,CFCs,ETR_separate,0.8651006664595128,1.6428936484566008,-1.0,-1.0,0.8606707410050998,1.726017039026142,{'n_estimators': 200}
39,CFCs,RF_separate,0.8500762969774185,1.680784150987425,-1.0,-1.0,0.8430690035973607,1.940926133070953,{'n_estimators': 180}
40,CFCs,LGBM_separate,0.8485020899380153,1.4556962571371717,-1.0,-1.0,0.9235446209949469,1.0048597568758386,"{'learning_rate': 0.5, 'n_estimators': 200, 'num_leaves': 20}"
41,CFCs,BGLGBM_separate,0.8788366306630637,1.243749066772431,-1.0,-1.0,0.8971863416227607,1.3064512614002197,{'n_estimators': 50}
42,Methane,DT_separate,0.8539012917072881,1.7646591750966234,-1.0,-1.0,0.8504383396080417,1.9528513071998164,{'criterion': 'squared_error'}
43,Methane,GBR_separate,0.9164370843412677,1.020906832255082,-1.0,-1.0,0.9434909005143262,0.6622004733338765,"{'learning_rate': 0.5, 'n_estimators': 200}"
44,Methane,BG_separate,0.9153620967462723,1.0242276335051372,-1.0,-1.0,0.898978490315814,1.1691033803468625,{'n_estimators': 100}
45,Methane,ETR_separate,0.9251251922784739,0.9107687872759456,-1.0,-1.0,0.9385048923801175,0.6710860469852937,{'n_estimators': 200}
46,Methane,RF_separate,0.9159047252410387,1.0182974256349897,-1.0,-1.0,0.8998386989393976,1.1606915334591514,{'n_estimators': 200}
47,Methane,LGBM_separate,0.9164774892251865,1.0127935249009912,-1.0,-1.0,0.9332908725882776,0.7994704907453236,"{'learning_rate': 0.5, 'n_estimators': 200, 'num_leaves': 30}"
48,Methane,BGLGBM_separate,0.9293049051091431,0.8584726583046984,-1.0,-1.0,0.9425726419465185,0.6476516764330176,{'n_estimators': 50}
49,E&E,DT_separate,0.8510532926451632,1.160382329678022,-1.0,-1.0,0.8808725872127223,0.8583941913041361,{'criterion': 'friedman_mse'}
50,E&E,GBR_separate,0.9268482489924714,0.5605415971875793,-1.0,-1.0,0.9340042002502629,0.5022424615136734,"{'learning_rate': 0.5, 'n_estimators': 200}"
51,E&E,BG_separate,0.8992586048044761,0.7712192612270794,-1.0,-1.0,0.9180836811517405,0.5559572915791777,{'n_estimators': 100}
52,E&E,ETR_separate,0.9129948718622453,0.670813466861222,-1.0,-1.0,0.9289103042369617,0.5038082870434921,{'n_estimators': 200}
53,E&E,RF_separate,0.8997942828792993,0.766524635612487,-1.0,-1.0,0.918347457472717,0.552937237345482,{'n_estimators': 200}
54,E&E,LGBM_separate,0.9288043027974762,0.5499184835051236,-1.0,-1.0,0.934516567283024,0.4472822645281267,"{'learning_rate': 0.1, 'n_estimators': 200, 'num_leaves': 50}"
55,E&E,BGLGBM_separate,0.9374274677480375,0.482320072681068,-1.0,-1.0,0.9347063727070953,0.44611057543171884,{'n_estimators': 50}
