,Gas,Model_name,CV_r2,CV_mse,test_r2_total_model,test_mse_by_total_model,test_r2_separa_model,test_mse_separa_model,best_param,test_mse_separa_model,test_mse_separa_model,test_mse_separa_model,test_mse_separa_model,test_mse_separa_model,test_mse_separa_model,test_mse_separa_model,test_mse_separa_model,test_mse_separa_model,,
0,CO2,DT_total,0.867463759,1.800481866,0.880254745,1.588269815,0.901057767,1.44854268,{'criterion': 'squared_error'},1.742690725,1.483011034,1.48048797,1.692215948,1.605852745,1.898524682,1.637766653,1.43736981,1.437919663,1.586438191,0.156783728
1,CFCs,DT_total,0.867463759,1.800481866,0.880254745,1.588269815,0.842365264,3.174250492,{'criterion': 'squared_error'},1.589405048,0.455060221,1.228777776,2.396808261,1.66636186,3.103662734,1.082842203,2.555128696,2.831421304,2.008371859,0.934274793
2,Methane,DT_total,0.867463759,1.800481866,0.880254745,1.588269815,0.81405303,2.053313462,{'criterion': 'squared_error'},1.582986871,1.559691889,1.166897514,1.773398739,1.876443784,1.454439006,1.500896208,1.916721981,1.707323598,1.659211305,0.260182475
3,E&E,DT_total,0.867463759,1.800481866,0.880254745,1.588269815,0.866183248,1.060365414,{'criterion': 'squared_error'},1.173200164,1.378535659,1.162310851,1.002316588,1.168977967,1.544333874,1.176218545,1.943649136,1.017193549,1.262710175,0.290553218
4,CO2,GBR_total,0.925002554,1.02670799,0.9219328,1.010478518,0.94410028,0.764831045,"{'learning_rate': 0.5, 'n_estimators': 200}",0.940200318,1.028037169,0.948641158,0.838615031,0.869885874,0.932942839,1.114916859,0.916714521,0.745308908,0.910009372,0.112448747
5,CFCs,GBR_total,0.925002554,1.02670799,0.9219328,1.010478518,0.808997672,2.584629723,"{'learning_rate': 0.5, 'n_estimators': 200}",0.450461859,0.165547439,0.353115512,0.726932097,0.333087104,1.078440962,0.211473789,0.374099212,2.215980077,0.849376777,0.86400652
6,Methane,GBR_total,0.925002554,1.02670799,0.9219328,1.010478518,0.875638401,1.681842066,"{'learning_rate': 0.5, 'n_estimators': 200}",1.704232638,1.121198523,0.912676479,1.248602146,0.996930447,1.026647351,1.507538936,1.310187577,1.069377187,1.257923335,0.286563945
7,E&E,GBR_total,0.925002554,1.02670799,0.9219328,1.010478518,0.910690116,0.563343283,"{'learning_rate': 0.5, 'n_estimators': 200}",0.680023866,0.881236317,0.57513718,0.636777227,0.518525004,0.701028534,0.788517478,0.772675152,0.697198291,0.681446233,0.112608086
8,CO2,BG_total,0.921279118,1.062865487,0.927774283,0.889751112,0.93921006,0.824595358,{'n_estimators': 100},1.089799032,0.827696518,0.907698278,0.956886033,0.859364371,1.241592104,1.089786267,0.793348361,0.951894937,0.954266126,0.144993253
9,CFCs,BG_total,0.921279118,1.062865487,0.927774283,0.889751112,0.819697326,2.455804273,{'n_estimators': 100},0.456011377,0.28193825,0.472505901,0.565084109,0.975395976,1.851340557,0.29480639,1.27252968,2.340432099,1.096584861,0.843190545
10,Methane,BG_total,0.921279118,1.062865487,0.927774283,0.889751112,0.903135991,1.056427967,{'n_estimators': 100},0.957892739,0.790163254,0.736169555,0.991984516,0.992744285,0.84781043,0.918479874,1.14451299,0.911835583,0.934802119,0.122324033
11,E&E,BG_total,0.921279118,1.062865487,0.927774283,0.889751112,0.912453133,0.623770358,{'n_estimators': 100},0.839751217,0.943252451,0.79467654,0.726573329,0.684246954,1.031557229,0.867841778,1.086035444,0.640954655,0.823865996,0.160420971
12,CO2,ETR_total,0.927033667,0.991770719,0.926712062,0.880676875,0.938779047,0.807892749,{'n_estimators': 200},1.047202595,0.767492462,0.927209842,0.990323397,0.8275255,1.125506749,1.07120328,0.747261692,0.954733548,0.93,0.13
13,CFCs,ETR_total,0.927033667,0.991770719,0.926712062,0.880676875,0.822719889,2.324329698,{'n_estimators': 200},0.310347349,0.364417482,0.494532398,0.283442086,0.285222698,1.071759861,0.12746498,2.350268369,2.530777598,1.01,0.99
14,Methane,ETR_total,0.927033667,0.991770719,0.926712062,0.880676875,0.904017007,1.03809189,{'n_estimators': 200},0.878768736,0.864821294,0.754964327,0.956728393,0.984518863,0.994152019,0.918671465,1.14846087,0.834429425,0.94,0.11
15,E&E,ETR_total,0.927033667,0.991770719,0.926712062,0.880676875,0.898277351,0.688148232,{'n_estimators': 200},0.706838742,1.053757314,0.712731473,0.542041922,0.639429862,0.728007951,0.751838298,0.968224686,0.630692115,0.74,0.16
16,CO2,RF_total,0.921585682,1.057492096,0.929214281,0.873858306,0.940338753,0.810942735,{'n_estimators': 200},1.08902512,0.824761568,0.909986549,0.959609223,0.854392134,1.250355792,1.077088921,0.788053951,0.932439303,0.94966553,0.14835499
17,CFCs,RF_total,0.921585682,1.057492096,0.929214281,0.873858306,0.831634568,2.30314037,{'n_estimators': 200},0.486388816,0.287036574,0.548439926,0.52050099,0.964618364,1.849970408,0.28135236,1.365326465,2.231788986,1.083856326,0.79754614
