,Gas,Model_name,CV_r2,CV_mse,test_r2_total_model,test_mse_by_total_model,test_r2_separa_model,test_mse_separa_model,best_param
0,CO2,DT_total,0.8675951823042769,1.7501278224183054,0.8968895139347056,1.4710218458319368,0.9095478122535741,1.483011034250118,{'criterion': 'friedman_mse'}
1,CFCs,DT_total,0.8675951823042769,1.7501278224183054,0.8968895139347056,1.4710218458319368,0.8260121211645138,0.4550602214630027,{'criterion': 'friedman_mse'}
2,Methane,DT_total,0.8675951823042769,1.7501278224183054,0.8968895139347056,1.4710218458319368,0.8720582608998173,1.5596918890811078,{'criterion': 'friedman_mse'}
3,E&E,DT_total,0.8675951823042769,1.7501278224183054,0.8968895139347056,1.4710218458319368,0.8313730556178656,1.3785356594922333,{'criterion': 'friedman_mse'}
4,CO2,GBR_total,0.9201579046850654,1.0551924146871232,0.9248967994693731,1.0184106976719207,0.9347328441727465,1.0280371688628396,"{'learning_rate': 0.5, 'n_estimators': 200}"
5,CFCs,GBR_total,0.9201579046850654,1.0551924146871232,0.9248967994693731,1.0184106976719207,0.9538087280432778,0.1655474392553256,"{'learning_rate': 0.5, 'n_estimators': 200}"
6,Methane,GBR_total,0.9201579046850654,1.0551924146871232,0.9248967994693731,1.0184106976719207,0.9003171189555008,1.1211985230467716,"{'learning_rate': 0.5, 'n_estimators': 200}"
7,E&E,GBR_total,0.9201579046850654,1.0551924146871232,0.9248967994693731,1.0184106976719207,0.8768022145918705,0.8812363173468121,"{'learning_rate': 0.5, 'n_estimators': 200}"
8,CO2,BG_total,0.9215456952574204,1.03683921194601,0.9387689443698364,0.8214018706564405,0.9470429670708167,0.8276965175792954,{'n_estimators': 100}
9,CFCs,BG_total,0.9215456952574204,1.03683921194601,0.9387689443698364,0.8214018706564405,0.9042334241330365,0.28193824950879737,{'n_estimators': 100}
10,Methane,BG_total,0.9215456952574204,1.03683921194601,0.9387689443698364,0.8214018706564405,0.9284881917706285,0.7901632540656726,{'n_estimators': 100}
11,E&E,BG_total,0.9215456952574204,1.03683921194601,0.9387689443698364,0.8214018706564405,0.8718219224824015,0.9432524510384471,{'n_estimators': 100}
12,CO2,ETR_total,0.9266089428703665,0.9715990425564008,0.9386114769408699,0.8191369457243909,0.9511838513916504,0.7674924620572602,{'n_estimators': 200}
